Corr;Ativo1;Ativo2
0.86;B3SA3;BRAP4
-0.90;B3SA3;CIEL3
0.93;B3SA3;CPLE6
0.94;B3SA3;CSAN3
0.87;B3SA3;CPFE3
0.95;B3SA3;CYRE3
0.82;B3SA3;ECOR3
0.88;B3SA3;ELET3
0.92;B3SA3;ENBR3
0.89;B3SA3;ENEV3
0.92;B3SA3;EGIE3
0.97;B3SA3;EQTL3
0.92;B3SA3;EZTC3
0.81;B3SA3;GGBR4
0.95;B3SA3;NTCO3
0.82;B3SA3;HYPE3
0.81;B3SA3;ITSA4
0.83;B3SA3;JBSS3
0.92;B3SA3;JHSF3
0.96;B3SA3;RENT3
0.96;B3SA3;LCAM3
0.82;B3SA3;LAME4
0.88;B3SA3;LREN3
0.96;B3SA3;MGLU3
0.87;B3SA3;MRFG3
0.95;B3SA3;MRVE3
0.82;B3SA3;PETR4
0.83;B3SA3;PRIO3
0.80;B3SA3;QUAL3
0.93;B3SA3;RADL3
0.82;B3SA3;RAIL3
0.87;B3SA3;SBSP3
0.91;B3SA3;SULA11
0.83;B3SA3;SUZB3
0.92;B3SA3;TAEE11
0.94;B3SA3;VIVT3
0.89;B3SA3;TOTS3
0.83;B3SA3;VALE3
0.90;B3SA3;WEGE3
0.84;BBSE3;CPFE3
0.87;BBSE3;CYRE3
0.87;BBSE3;ECOR3
0.83;BBSE3;ENBR3
0.87;BBSE3;EGIE3
0.90;BBSE3;EZTC3
0.85;BBSE3;GOLL4
0.81;BBSE3;IGTA3
0.81;BBSE3;ITSA4
0.87;BBSE3;LREN3
0.86;BBSE3;MRVE3
0.82;BBSE3;MULT3
0.82;BBSE3;RAIL3
0.87;BBSE3;SBSP3
0.89;BBSE3;SULA11
0.82;BBSE3;VIVT3
0.84;BBSE3;YDUQ3
0.85;BRML3;IGTA3
0.89;BRML3;MULT3
0.99;BBDC3;BBDC4
0.96;BBDC3;BBAS3
0.84;BBDC3;HGTX3
0.84;BBDC3;CPFE3
0.85;BBDC3;ELET3
0.82;BBDC3;ENBR3
0.81;BBDC3;EGIE3
0.93;BBDC3;GOLL4
0.95;BBDC3;IGTA3
0.96;BBDC3;ITSA4
0.97;BBDC3;ITUB4
0.90;BBDC3;LREN3
0.80;BBDC3;MRVE3
0.91;BBDC3;MULT3
0.93;BBDC3;PETR3
0.92;BBDC3;PETR4
0.94;BBDC3;SANB11
0.85;BBDC3;YDUQ3
0.99;BBDC4;BBDC3
0.96;BBDC4;BBAS3
0.82;BBDC4;CMIG4
0.84;BBDC4;HGTX3
0.84;BBDC4;CPFE3
0.87;BBDC4;ELET3
0.84;BBDC4;ENBR3
0.83;BBDC4;EGIE3
0.93;BBDC4;GOLL4
0.93;BBDC4;IGTA3
0.97;BBDC4;ITSA4
0.98;BBDC4;ITUB4
0.90;BBDC4;LREN3
0.81;BBDC4;MRVE3
0.88;BBDC4;MULT3
0.95;BBDC4;PETR3
0.95;BBDC4;PETR4
0.97;BBDC4;SANB11
0.84;BBDC4;YDUQ3
0.86;BRAP4;B3SA3
-0.82;BRAP4;CIEL3
0.80;BRAP4;CPLE6
0.92;BRAP4;CSAN3
0.81;BRAP4;CYRE3
0.80;BRAP4;ELET3
0.88;BRAP4;ENEV3
0.87;BRAP4;EQTL3
0.97;BRAP4;GGBR4
0.86;BRAP4;GOAU4
0.88;BRAP4;NTCO3
0.80;BRAP4;JHSF3
0.82;BRAP4;KLBN11
0.93;BRAP4;RENT3
0.92;BRAP4;LCAM3
0.89;BRAP4;MGLU3
0.88;BRAP4;MRFG3
0.93;BRAP4;PRIO3
0.87;BRAP4;RADL3
0.91;BRAP4;CSNA3
0.90;BRAP4;SUZB3
0.94;BRAP4;TAEE11
0.81;BRAP4;VIVT3
0.87;BRAP4;TOTS3
0.94;BRAP4;USIM5
0.99;BRAP4;VALE3
0.89;BRAP4;WEGE3
0.96;BBAS3;BBDC3
0.96;BBAS3;BBDC4
