<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.23	0.23	0.22	0.22	1249	6457600	1
2015.01.05	0.22	0.23	0.22	0.22	1475	10297600	1
2015.01.06	0.22	0.23	0.22	0.22	2166	12572800	1
2015.01.07	0.23	0.23	0.22	0.23	1102	6579200	1
2015.01.08	0.23	0.23	0.23	0.23	1570	8393600	1
2015.01.09	0.23	0.23	0.22	0.22	2097	14128000	1
2015.01.12	0.22	0.22	0.22	0.22	1171	6291200	1
2015.01.13	0.22	0.23	0.22	0.22	685	4812800	1
2015.01.14	0.22	0.22	0.22	0.22	2065	10627200	1
2015.01.15	0.22	0.22	0.22	0.22	1666	7382400	1
2015.01.16	0.22	0.22	0.22	0.22	2290	10195200	1
2015.01.19	0.22	0.22	0.22	0.22	2074	9174400	1
2015.01.20	0.22	0.22	0.21	0.21	3003	18489600	1
2015.01.21	0.21	0.21	0.21	0.21	2362	19011200	1
2015.01.22	0.21	0.21	0.21	0.21	2063	11792000	1
2015.01.23	0.21	0.21	0.21	0.21	1671	10940800	1
2015.01.26	0.21	0.21	0.20	0.21	2104	14064000	1
2015.01.27	0.21	0.21	0.20	0.20	2847	18000000	1
2015.01.28	0.20	0.20	0.19	0.20	2755	17606400	1
2015.01.29	0.20	0.21	0.19	0.20	1624	11366400	1
2015.01.30	0.20	0.20	0.20	0.20	1443	10176000	1
2015.02.02	0.20	0.21	0.20	0.20	1658	7878400	1
2015.02.03	0.21	0.21	0.20	0.20	1696	13504000	1
2015.02.04	0.20	0.20	0.19	0.19	1862	10150400	1
2015.02.05	0.19	0.20	0.19	0.19	2789	17052800	1
2015.02.06	0.19	0.20	0.18	0.18	3114	20134400	1
2015.02.09	0.18	0.18	0.18	0.18	2966	19360000	1
2015.02.10	0.18	0.19	0.18	0.18	1736	13171200	1
2015.02.11	0.19	0.19	0.17	0.17	3502	28348800	1
2015.02.12	0.17	0.18	0.17	0.18	3821	30659200	1
2015.02.13	0.18	0.18	0.18	0.18	1936	21481600	1
2015.02.18	0.18	0.19	0.18	0.18	1783	16758400	1
2015.02.19	0.18	0.19	0.18	0.19	1476	10182400	1
2015.02.20	0.19	0.19	0.19	0.19	2393	19321600	1
2015.02.23	0.19	0.19	0.19	0.19	2289	17232000	1
2015.02.24	0.19	0.20	0.19	0.20	1759	11923200	1
2015.02.25	0.20	0.20	0.19	0.19	2823	21164800	1
2015.02.26	0.19	0.21	0.19	0.20	3768	29651200	1
2015.02.27	0.20	0.20	0.18	0.18	4957	60377600	1
2015.03.02	0.18	0.19	0.18	0.18	1510	14608000	1
2015.03.03	0.18	0.18	0.18	0.18	2032	16217600	1
2015.03.04	0.18	0.18	0.17	0.17	1892	17587200	1
2015.03.05	0.17	0.17	0.16	0.16	2977	27465600	1
2015.03.06	0.16	0.16	0.15	0.16	3487	43724800	1
2015.03.09	0.16	0.16	0.15	0.15	4812	43091200	1
2015.03.10	0.15	0.16	0.15	0.16	4066	32345600	1
2015.03.11	0.16	0.16	0.16	0.16	3066	20358400	1
2015.03.12	0.16	0.16	0.16	0.16	3775	28076800	1
2015.03.13	0.16	0.16	0.15	0.16	3600	25468800	1
2015.03.16	0.16	0.16	0.15	0.15	2227	13667200	1
2015.03.17	0.15	0.15	0.15	0.15	2458	20435200	1
2015.03.18	0.15	0.15	0.15	0.15	2385	27641600	1
2015.03.19	0.15	0.15	0.15	0.15	3304	28912000	1
2015.03.20	0.15	0.15	0.15	0.15	1483	16867200	1
2015.03.23	0.15	0.15	0.15	0.15	828	5891200	1
2015.03.24	0.15	0.15	0.15	0.15	1423	14153600	1
2015.03.25	0.15	0.15	0.15	0.15	3050	26828800	1
2015.03.26	0.15	0.15	0.15	0.15	3352	29916800	1
2015.03.27	0.15	0.15	0.15	0.15	1721	13987200	1
2015.03.30	0.15	0.15	0.15	0.15	2033	33152000	1
2015.03.31	0.15	0.15	0.15	0.15	1339	18630400	1
2015.04.01	0.15	0.16	0.15	0.16	3245	32748800	1
2015.04.02	0.16	0.17	0.16	0.17	2503	17600000	1
2015.04.06	0.16	0.17	0.16	0.16	1780	13936000	1
2015.04.07	0.16	0.17	0.16	0.16	2408	26169600	1
2015.04.08	0.16	0.16	0.15	0.15	4499	71040000	1
2015.04.09	0.15	0.15	0.15	0.15	2993	37875200	1
2015.04.10	0.15	0.15	0.15	0.15	1907	20048000	1
2015.04.13	0.15	0.15	0.15	0.15	883	7987200	1
2015.04.14	0.15	0.15	0.15	0.15	1759	12201600	1
2015.04.15	0.15	0.15	0.15	0.15	1681	18873600	1
2015.04.16	0.15	0.16	0.15	0.16	1825	16646400	1
2015.04.17	0.16	0.16	0.15	0.15	2311	18224000	1
2015.04.20	0.16	0.16	0.15	0.15	1553	11740800	1
2015.04.22	0.15	0.15	0.15	0.15	1015	11270400	1
2015.04.23	0.15	0.15	0.15	0.15	787	11955200	1
2015.04.24	0.15	0.16	0.15	0.15	2194	31830400	1
2015.04.27	0.16	0.16	0.15	0.16	1728	16588800	1
2015.04.28	0.16	0.16	0.15	0.15	1433	18300800	1
2015.04.29	0.16	0.16	0.15	0.15	1848	15440000	1
2015.04.30	0.15	0.15	0.15	0.15	1316	11996800	1
2015.05.04	0.15	0.16	0.15	0.16	2213	24422400	1
2015.05.05	0.16	0.17	0.16	0.17	1951	26422400	1
2015.05.06	0.17	0.17	0.16	0.17	1781	20659200	1
2015.05.07	0.17	0.17	0.17	0.17	1838	18684800	1
2015.05.08	0.17	0.17	0.15	0.15	3813	70070400	1
2015.05.11	0.15	0.16	0.15	0.15	1854	24156800	1
2015.05.12	0.15	0.15	0.15	0.15	1374	14131200	1
2015.05.13	0.15	0.15	0.15	0.15	1426	16812800	1
2015.05.14	0.15	0.15	0.14	0.15	2178	29766400	1
2015.05.15	0.15	0.15	0.14	0.15	1492	21299200	1
2015.05.18	0.15	0.15	0.14	0.15	984	10032000	1
2015.05.19	0.15	0.15	0.14	0.14	1638	16838400	1
2015.05.20	0.15	0.15	0.14	0.14	1468	18585600	1
2015.05.21	0.14	0.14	0.14	0.14	520	6355200	1
2015.05.22	0.14	0.14	0.14	0.14	598	7433600	1
2015.05.25	0.14	0.14	0.14	0.14	523	5478400	1
2015.05.26	0.14	0.14	0.13	0.13	1603	43404800	1
2015.05.27	0.13	0.13	0.13	0.13	2363	42544000	1
2015.05.28	0.14	0.14	0.13	0.13	2134	24137600	1
2015.05.29	0.13	0.14	0.13	0.13	1615	28710400	1
2015.06.01	0.13	0.13	0.13	0.13	2045	16233600	1
2015.06.02	0.13	0.13	0.13	0.13	1862	39107200	1
2015.06.03	0.13	0.13	0.12	0.13	1963	22915200	1
2015.06.05	0.13	0.13	0.12	0.13	1571	20937600	1
2015.06.08	0.13	0.13	0.12	0.12	1357	10121600	1
2015.06.09	0.12	0.13	0.12	0.13	1073	12105600	1
2015.06.10	0.13	0.13	0.12	0.12	1270	12704000	1
2015.06.11	0.12	0.12	0.12	0.12	1242	16416000	1
2015.06.12	0.12	0.12	0.12	0.12	708	9334400	1
2015.06.15	0.12	0.12	0.12	0.12	987	8924800	1
2015.06.16	0.12	0.12	0.12	0.12	1370	10275200	1
