<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.59	4.62	4.43	4.45	6266	1679500	1
2015.01.05	4.45	4.45	4.29	4.37	8417	1898600	1
2015.01.06	4.37	4.57	4.30	4.45	7436	1676800	1
2015.01.07	4.52	4.77	4.48	4.63	6322	1547000	1
2015.01.08	4.66	4.77	4.60	4.65	3307	1003000	1
2015.01.09	4.60	4.60	4.43	4.45	4071	1705600	1
2015.01.12	4.43	4.43	4.31	4.34	4433	1525800	1
2015.01.13	4.36	4.46	4.32	4.40	6216	1784800	1
2015.01.14	4.33	4.44	4.24	4.32	8215	1998700	1
2015.01.15	4.32	4.38	4.22	4.22	5260	1465700	1
2015.01.16	4.25	4.36	4.20	4.32	6192	1557500	1
2015.01.19	4.24	4.37	4.13	4.20	3835	768400	1
2015.01.20	4.27	4.40	4.23	4.33	6244	1653700	1
2015.01.21	4.32	4.43	4.22	4.37	6152	1440200	1
2015.01.22	4.46	4.57	4.42	4.44	5341	2545600	1
2015.01.23	4.39	4.48	4.26	4.37	6660	2129700	1
2015.01.26	4.37	4.37	4.18	4.29	5238	2028700	1
2015.01.27	4.20	4.35	4.18	4.26	9029	2860600	1
2015.01.28	4.24	4.35	4.19	4.24	7969	3205000	1
2015.01.29	4.27	4.37	4.23	4.31	10127	2622300	1
2015.01.30	4.24	4.35	4.12	4.25	8546	3557300	1
2015.02.02	4.29	4.30	4.15	4.30	4826	1402100	1
2015.02.03	4.36	4.38	4.22	4.29	9826	4555700	1
2015.02.04	4.31	4.33	4.18	4.30	7594	2040200	1
2015.02.05	4.24	4.48	4.24	4.43	8514	2617700	1
2015.02.06	4.38	4.43	4.24	4.33	8315	2372900	1
2015.02.09	4.31	4.49	4.28	4.45	5309	1686700	1
2015.02.10	4.40	4.51	4.30	4.35	5092	1777800	1
2015.02.11	4.28	4.37	4.21	4.22	9051	1792600	1
2015.02.12	4.27	4.41	4.26	4.29	7324	2166600	1
2015.02.13	4.29	4.48	4.29	4.43	6808	1725400	1
2015.02.18	4.35	4.67	4.35	4.48	6716	2006200	1
2015.02.19	4.43	4.67	4.43	4.56	2873	949400	1
2015.02.20	4.60	4.62	4.45	4.49	5717	1536900	1
2015.02.23	4.46	4.53	4.31	4.35	5941	2158900	1
2015.02.24	4.35	4.38	4.26	4.32	7094	2362600	1
2015.02.25	4.30	4.30	4.22	4.27	8556	3516400	1
2015.02.26	4.27	4.44	4.27	4.37	6717	2147000	1
2015.02.27	4.38	4.45	4.18	4.18	11128	3919500	1
2015.03.02	4.18	4.37	4.16	4.35	8861	2645000	1
2015.03.03	4.33	4.39	4.27	4.37	11309	2385800	1
2015.03.04	4.29	4.33	4.09	4.12	10525	3296800	1
2015.03.05	4.16	4.17	3.95	4.05	16392	4406700	1
2015.03.06	4.13	4.27	4.10	4.24	10195	4045300	1
2015.03.09	4.15	4.16	4.02	4.15	9776	2735700	1
2015.03.10	4.07	4.27	4.05	4.21	8390	2732200	1
2015.03.11	4.18	4.30	4.17	4.27	8709	3204400	1
2015.03.12	4.30	4.39	4.21	4.27	12566	3950400	1
2015.03.13	4.29	4.29	4.13	4.26	10367	3390200	1
2015.03.16	4.26	4.34	4.18	4.32	9093	3313400	1
2015.03.17	4.33	4.55	4.26	4.49	15095	4795300	1
2015.03.18	4.53	4.67	4.46	4.61	9945	3413300	1
2015.03.19	4.61	4.81	4.57	4.62	15700	8037100	1
2015.03.20	4.70	4.85	4.63	4.85	18780	12260100	1
2015.03.23	4.83	4.91	4.77	4.85	7583	2481400	1
2015.03.24	4.86	4.94	4.83	4.93	7210	2245200	1
2015.03.25	4.95	4.98	4.90	4.91	6300	1791800	1
2015.03.26	4.89	4.97	4.80	4.88	5736	1752700	1
2015.03.27	4.85	4.90	4.74	4.82	7148	2360700	1
2015.03.30	4.86	4.94	4.81	4.91	4027	1479400	1
2015.03.31	4.89	5.04	4.88	4.94	6913	2066100	1
2015.04.01	4.95	5.12	4.94	5.01	8720	2322600	1
2015.04.02	5.05	5.19	5.05	5.12	5102	1443800	1
2015.04.06	5.15	5.42	5.13	5.29	6289	2080300	1
2015.04.07	5.32	5.39	5.23	5.29	6251	1493100	1
2015.04.08	5.31	5.42	5.31	5.34	4881	1412600	1
2015.04.09	5.35	5.53	5.28	5.40	10049	3200000	1
2015.04.10	5.37	5.38	5.20	5.27	9960	3389900	1
2015.04.13	5.26	5.31	5.24	5.28	5919	2079900	1
2015.04.14	5.30	5.39	5.23	5.23	8610	1774200	1
2015.04.15	5.25	5.37	5.21	5.31	7144	2561400	1
2015.04.16	5.30	5.34	5.26	5.26	7446	2692300	1
2015.04.17	5.17	5.38	5.17	5.36	7195	2402900	1
2015.04.20	5.36	5.40	5.17	5.17	4547	1708700	1
2015.04.22	5.17	5.21	5.07	5.20	10523	2405800	1
2015.04.23	5.20	5.45	5.17	5.39	3622	1939500	1
2015.04.24	5.51	5.51	5.33	5.37	6710	2155100	1
2015.04.27	5.40	5.43	5.21	5.29	7685	3010600	1
2015.04.28	5.29	5.31	5.05	5.13	8260	1991200	1
2015.04.29	5.08	5.12	4.90	4.98	12481	3358500	1
2015.04.30	4.93	5.09	4.93	5.07	6539	2444200	1
2015.05.04	5.10	5.19	4.99	5.07	5324	1405500	1
2015.05.05	5.03	5.19	5.03	5.07	5891	1672800	1
