<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	14.15	14.16	13.33	13.33	7940	6474293	1
2015.01.05	13.49	13.62	13.10	13.37	6766	3395620	1
2015.01.06	13.35	14.03	13.29	14.03	7359	3994103	1
2015.01.07	14.26	14.89	14.20	14.45	6685	3793304	1
2015.01.08	14.42	14.57	14.14	14.31	2928	1519040	1
2015.01.09	14.10	14.59	14.10	14.39	3759	2200463	1
2015.01.12	14.38	14.53	14.16	14.24	4240	2437743	1
2015.01.13	14.31	14.73	14.31	14.45	5552	4312509	1
2015.01.14	14.35	14.64	14.25	14.51	5167	3090205	1
2015.01.15	14.63	15.25	14.55	15.00	5997	3780629	1
2015.01.16	15.12	15.60	15.05	15.30	6066	4111088	1
2015.01.19	15.19	15.55	14.67	14.71	4588	2918349	1
2015.01.20	14.83	15.35	14.83	15.24	4530	2075025	1
2015.01.21	15.45	16.27	15.28	15.81	9924	5988887	1
2015.01.22	16.03	16.37	15.69	15.69	6370	4549201	1
2015.01.23	15.58	15.86	15.58	15.85	3742	2165193	1
2015.01.26	15.74	15.75	15.26	15.37	3737	1559749	1
2015.01.27	15.28	15.49	14.99	15.36	3464	1716552	1
2015.01.28	15.26	15.59	15.03	15.34	2339	1012537	1
2015.01.29	15.20	15.28	14.77	15.00	3358	2050910	1
2015.01.30	14.75	14.96	14.48	14.51	4098	2017448	1
2015.02.02	14.60	14.97	14.51	14.79	4354	3894331	1
2015.02.03	14.87	15.04	14.63	15.03	4845	2877052	1
2015.02.04	15.06	15.25	14.55	14.73	5530	2872500	1
2015.02.05	14.56	15.25	14.56	15.09	3251	1371924	1
2015.02.06	14.88	15.06	14.63	14.73	4771	3157143	1
2015.02.09	14.66	15.15	14.50	15.12	5535	3152615	1
2015.02.10	15.06	15.37	14.88	14.88	3779	1721665	1
2015.02.11	14.91	15.07	14.55	14.76	3789	2090726	1
2015.02.12	15.01	15.36	14.99	15.36	3085	1424684	1
2015.02.13	15.21	15.85	15.21	15.78	4270	2499863	1
2015.02.18	15.99	16.12	15.60	15.81	3477	1563338	1
2015.02.19	15.67	16.16	15.67	15.93	3081	1491023	1
2015.02.20	15.86	15.92	15.57	15.70	2520	1245286	1
2015.02.23	15.45	16.14	15.43	15.97	2521	1150926	1
2015.02.24	15.87	16.20	15.71	16.05	4330	1890817	1
2015.02.25	16.09	16.49	16.05	16.26	4283	2434732	1
2015.02.26	16.29	16.46	15.86	16.14	6804	3909384	1
2015.02.27	16.19	16.58	16.05	16.43	5297	3663965	1
2015.03.02	16.40	16.47	15.90	15.97	4451	2427497	1
2015.03.03	16.11	16.24	15.85	16.09	3009	1862481	1
2015.03.04	15.96	16.17	15.57	16.11	3221	1620366	1
2015.03.05	16.11	16.26	15.65	15.72	3632	1819650	1
2015.03.06	15.71	15.73	15.41	15.62	2884	1082785	1
2015.03.09	15.36	15.54	14.92	14.93	5387	2743475	1
2015.03.10	14.89	15.44	14.78	15.39	5136	2500146	1
2015.03.11	15.31	15.55	15.21	15.42	4193	2140458	1
2015.03.12	15.79	15.88	15.35	15.51	3480	1639664	1
2015.03.13	14.92	15.40	14.92	15.19	5205	2268896	1
2015.03.16	15.44	15.77	15.44	15.77	4787	2892718	1
2015.03.17	15.79	16.06	15.65	15.97	3492	2057533	1
2015.03.18	15.94	16.63	15.78	16.50	5653	2597849	1
2015.03.19	16.48	16.54	16.23	16.46	6260	3666066	1
2015.03.20	16.68	16.99	16.60	16.84	5239	2902957	1
2015.03.23	16.86	16.98	16.52	16.65	5885	3828877	1
2015.03.24	16.65	16.91	16.50	16.64	2348	1132220	1
2015.03.25	16.81	16.98	16.51	16.69	3935	1879657	1
2015.03.26	16.51	16.60	16.15	16.33	3484	1813333	1
2015.03.27	16.20	16.61	16.11	16.24	2480	1252225	1
2015.03.30	16.26	16.87	16.26	16.83	4756	2436543	1
2015.03.31	16.59	16.96	16.59	16.88	3504	5192925	1
2015.04.01	17.07	17.27	16.75	16.85	5316	3528600	1
2015.04.02	16.96	17.59	16.91	17.10	9368	4965858	1
2015.04.06	17.27	17.60	17.23	17.41	5588	2773914	1
2015.04.07	17.41	17.52	17.07	17.18	4680	2700650	1
2015.04.08	17.52	17.72	17.13	17.16	3636	1863375	1
2015.04.09	17.16	17.49	16.90	16.94	3963	1833522	1
2015.04.10	16.94	17.62	16.94	17.49	6280	3053125	1
2015.04.13	17.49	17.64	17.25	17.28	3565	1450013	1
2015.04.14	17.50	17.50	17.02	17.12	4522	1767197	1
2015.04.15	17.20	17.37	16.94	17.16	2869	1159073	1
2015.04.16	17.16	17.27	16.63	16.85	6356	2857424	1
2015.04.17	16.53	16.81	16.52	16.75	4668	2027998	1
2015.04.20	16.86	17.21	16.48	16.78	2644	1288722	1
2015.04.22	16.87	17.14	16.76	17.01	3439	1625189	1
2015.04.23	16.93	17.55	16.93	17.40	4116	1708704	1
2015.04.24	17.62	17.62	16.88	16.88	3990	1732821	1
2015.04.27	16.91	16.96	16.23	16.50	5657	2995231	1
2015.04.28	16.59	16.60	16.02	16.29	4315	1976449	1
2015.04.29	16.08	16.17	15.87	15.98	6271	3443866	1
2015.04.30	15.65	16.03	15.20	15.99	9741	7163239	1
2015.05.04	16.07	16.43	15.84	16.09	4890	2506180	1
2015.05.05	16.09	16.26	15.87	16.03	3501	1319463	1
2015.05.06	15.96	16.19	15.51	15.75	5755	2490494	1
2015.05.07	15.75	16.06	15.50	16.06	3017	1876656	1
2015.05.08	16.44	16.44	15.95	16.36	3691	1903780	1
2015.05.11	16.36	16.36	15.76	15.84	7125	3503861	1
2015.05.12	15.84	15.88	15.54	15.54	4757	3126080	1
2015.05.13	15.55	16.05	15.49	15.87	4196	1972221	1
2015.05.14	15.88	16.59	15.88	16.33	3738	2405198	1
2015.05.15	16.21	16.39	16.11	16.18	3405	1755747	1
2015.05.18	16.33	16.33	15.56	15.72	5122	2373520	1
2015.05.19	15.70	15.95	15.60	15.87	4111	1895639	1
2015.05.20	15.73	15.99	15.54	15.64	3234	1368312	1
2015.05.21	15.52	15.77	15.44	15.66	3320	1634834	1
2015.05.22	15.76	15.96	15.32	15.58	2565	2175140	1
2015.05.25	15.55	15.69	15.35	15.53	1537	647402	1
2015.05.26	15.40	15.43	14.95	15.09	5105	3587990	1
2015.05.27	15.09	15.54	14.79	15.51	3850	1821777	1
2015.05.28	15.35	15.35	14.87	15.14	3689	2025884	1
2015.05.29	14.90	15.16	14.75	15.03	4262	2521869	1
2015.06.01	14.91	14.95	14.78	14.86	3259	2202890	1
2015.06.02	15.09	15.15	14.81	15.00	2488	1087009	1
