<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	14.34	14.34	13.69	13.69	4441	1660200	1
2015.01.05	13.63	13.74	13.41	13.54	5686	1986400	1
2015.01.06	13.64	13.80	13.48	13.48	5148	1851600	1
2015.01.07	13.59	14.34	13.55	14.06	5362	1860200	1
2015.01.08	14.02	14.37	13.95	13.95	2895	1054400	1
2015.01.09	14.01	14.01	13.50	13.70	3014	1073000	1
2015.01.12	13.71	13.81	13.42	13.63	4057	1275200	1
2015.01.13	13.65	13.78	13.52	13.54	4752	2159800	1
2015.01.14	13.46	13.79	13.24	13.46	7200	3758000	1
2015.01.15	13.55	13.82	13.48	13.69	4151	2648000	1
2015.01.16	13.77	14.15	13.55	13.95	3865	1717000	1
2015.01.19	13.72	13.92	13.37	13.50	2597	831400	1
2015.01.20	13.11	13.55	13.11	13.50	5724	5439800	1
2015.01.21	13.66	14.38	13.65	14.38	5085	2078000	1
2015.01.22	14.44	15.33	14.40	15.04	4970	3484200	1
2015.01.23	14.92	15.31	14.41	14.57	3775	2516000	1
2015.01.26	14.57	14.57	14.13	14.36	3193	1577400	1
2015.01.27	14.18	14.62	14.06	14.26	3954	1708200	1
2015.01.28	14.24	14.69	14.15	14.62	3949	1355600	1
2015.01.29	14.55	14.67	14.15	14.40	4458	1986400	1
2015.01.30	14.29	14.48	13.92	14.11	4648	2366800	1
2015.02.02	14.12	14.50	14.01	14.28	3739	1901600	1
2015.02.03	14.40	14.52	14.10	14.25	3536	1501800	1
2015.02.04	14.29	14.42	13.90	13.90	4779	2444000	1
2015.02.05	13.73	14.29	13.73	14.11	4935	1873200	1
2015.02.06	14.04	14.04	13.62	13.72	4408	2541400	1
2015.02.09	13.70	13.70	13.46	13.50	5012	2314800	1
2015.02.10	13.51	13.66	13.50	13.50	4235	1588000	1
2015.02.11	13.48	13.56	13.05	13.05	4282	2061800	1
2015.02.12	12.74	12.91	12.15	12.15	11382	5639400	1
2015.02.13	12.27	12.56	12.24	12.49	8624	4476600	1
2015.02.18	12.65	12.91	12.65	12.88	7229	3710800	1
2015.02.19	12.94	13.17	12.90	13.08	5683	2602200	1
2015.02.20	13.04	13.30	13.04	13.22	4391	2304600	1
2015.02.23	13.16	13.35	12.91	13.29	4608	2277000	1
2015.02.24	13.35	13.40	13.15	13.34	4274	1862000	1
2015.02.25	13.30	13.38	13.08	13.36	4590	1780000	1
2015.02.26	13.38	13.50	13.25	13.38	4492	2154400	1
2015.02.27	13.38	13.56	13.13	13.13	5179	2117000	1
2015.03.02	13.16	13.16	12.71	12.75	4283	1682600	1
2015.03.03	12.85	12.97	12.22	12.22	7623	3905200	1
2015.03.04	12.20	12.25	11.78	11.91	6966	3041200	1
2015.03.05	11.96	12.03	11.74	11.79	3844	1846200	1
2015.03.06	11.80	11.93	11.71	11.86	3823	2402200	1
2015.03.09	11.80	11.88	11.65	11.88	5075	2955200	1
2015.03.10	11.90	11.92	11.69	11.72	5622	2631400	1
2015.03.11	11.68	11.88	11.54	11.83	3825	2174000	1
2015.03.12	11.90	12.05	11.74	11.86	3858	2036800	1
2015.03.13	11.47	11.69	11.37	11.51	3994	2100200	1
2015.03.16	11.51	11.68	11.50	11.63	2954	965400	1
2015.03.17	11.51	12.10	11.49	12.07	3295	1390200	1
2015.03.18	11.88	12.24	11.75	12.11	4645	2449800	1
2015.03.19	12.08	12.09	11.88	12.09	2879	1315800	1
2015.03.20	12.14	12.66	12.12	12.50	4235	2084600	1
2015.03.23	12.51	12.51	12.27	12.30	4127	1894000	1
2015.03.24	12.35	12.50	11.97	12.14	4664	2402000	1
2015.03.25	12.22	12.51	12.08	12.08	2746	1240200	1
2015.03.26	12.00	12.19	11.78	11.97	6218	2659000	1
2015.03.27	11.90	12.47	11.80	12.25	5134	2167200	1
2015.03.30	12.23	12.64	12.23	12.61	2968	2116000	1
2015.03.31	12.38	12.89	12.23	12.56	4917	3228800	1
2015.04.01	12.61	12.98	12.56	12.75	5167	1869200	1
2015.04.02	12.89	13.72	12.84	13.41	8765	3842000	1
2015.04.06	13.58	13.69	13.31	13.47	4479	1598800	1
2015.04.07	13.57	13.57	13.06	13.06	4127	1436800	1
2015.04.08	13.28	13.50	13.03	13.06	4562	1586800	1
2015.04.09	12.96	13.38	12.90	12.91	4078	1380000	1
2015.04.10	12.91	13.14	12.88	13.14	2687	935400	1
2015.04.13	13.14	13.24	12.92	12.92	2054	766000	1
2015.04.14	13.03	13.10	12.56	12.56	4237	1595600	1
2015.04.15	12.68	12.87	12.43	12.54	3554	1274400	1
2015.04.16	12.61	12.81	12.41	12.71	3701	1461800	1
2015.04.17	12.61	12.78	12.43	12.66	4243	1487600	1
2015.04.20	12.80	12.99	12.30	12.36	3395	1163400	1
2015.04.22	12.37	12.47	12.20	12.26	3787	1673200	1
2015.04.23	12.21	12.37	12.14	12.28	2396	1173800	1
2015.04.24	12.35	13.05	12.24	12.63	6931	2899400	1
2015.04.27	12.66	12.97	12.60	12.66	2778	1167800	1
2015.04.28	12.77	12.84	12.38	12.45	3094	1218200	1
2015.04.29	12.47	12.47	12.00	12.18	4327	1650600	1
2015.04.30	12.19	13.45	12.19	13.45	8884	4502200	1
2015.05.04	13.45	14.00	13.45	13.84	5184	2283800	1
2015.05.05	13.83	15.15	13.71	15.06	8551	4021400	1
2015.05.06	15.17	16.15	15.12	15.48	10213	6402400	1
2015.05.07	15.38	15.49	14.54	14.60	6121	2411400	1
2015.05.08	14.64	14.64	14.34	14.50	4464	4104000	1
2015.05.11	14.50	14.53	14.29	14.39	3627	1899600	1
2015.05.12	14.34	14.47	14.17	14.38	3232	1044600	1
2015.05.13	14.27	14.42	14.19	14.32	2424	2364000	1
2015.05.14	14.43	14.48	13.85	14.07	3910	2382800	1
2015.05.15	14.06	14.26	13.88	14.15	2827	4944200	1
2015.05.18	14.27	14.48	13.94	14.01	5290	4188400	1
2015.05.19	14.01	14.01	13.62	13.69	2281	3946000	1
2015.05.20	13.50	13.90	13.46	13.69	3087	1856000	1
2015.05.21	13.69	13.90	13.54	13.77	3293	5431400	1
2015.05.22	13.77	13.88	13.29	13.66	5480	3185400	1
2015.05.25	13.54	13.62	13.24	13.62	2255	806800	1
2015.05.26	13.52	13.52	13.10	13.22	5027	1823200	1
2015.05.27	13.22	13.67	12.97	13.57	5680	2532000	1
2015.05.28	13.47	13.73	13.35	13.71	3770	1239800	1
2015.05.29	13.61	13.94	13.39	13.39	5458	3846800	1
