<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.06.30	56.78	56.78	56.78	56.78	1	100	1
2015.07.29	56.55	56.55	56.55	56.55	1	100	1
2015.10.08	42.79	42.79	42.79	42.79	1	100	1
2016.02.17	42.79	42.79	42.79	42.79	1	100	1
2016.03.17	42.79	42.79	42.79	42.79	1	100	1
2016.03.24	31.29	31.29	31.29	31.29	1	100	1
2016.05.10	36.49	36.49	36.49	36.49	2	200	1
2017.01.03	35.70	35.70	35.70	35.70	1	300	1
2017.01.31	35.70	35.70	35.70	35.70	1	100	1
2017.02.01	85.38	85.38	85.38	85.38	1	100	1
2017.03.29	65.98	65.98	65.98	65.98	1	100	1
2017.04.28	56.27	56.27	56.27	56.27	1	100	1
2017.05.05	99.89	99.89	99.89	99.89	1	100	1
2017.05.09	100.90	100.90	100.90	100.90	1	100	1
2017.05.19	65.98	65.98	65.98	65.98	1	100	1
2017.07.27	65.97	65.97	65.97	65.97	1	100	1
2018.02.06	58.98	58.98	58.98	58.98	2	500	1
2018.02.07	69.86	69.86	69.86	69.86	3	300	1
2018.10.23	65.98	65.98	65.98	65.98	1	500	1
2019.01.28	72.97	72.97	72.97	72.97	1	100	1
2019.02.11	63.66	63.66	63.66	63.66	2	300	1
2019.02.12	72.57	72.57	72.57	72.57	1	100	1
2019.07.10	70.63	70.63	70.63	70.63	3	300	1
2019.07.12	71.41	73.35	71.41	73.35	5	600	1
2019.08.01	73.74	73.74	73.74	73.74	5	1400	1
2019.08.05	74.51	74.51	74.51	74.51	2	200	1
2019.08.06	74.51	74.51	74.51	74.51	1	100	1
2019.08.07	77.62	77.62	77.62	77.62	1	100	1
2019.09.30	69.86	69.86	69.86	69.86	1	100	1
2019.10.03	69.85	69.85	69.85	69.85	1	100	1
2019.10.09	69.85	69.85	69.85	69.85	1	100	1
2019.10.10	63.26	63.26	63.26	63.26	1	100	1
2019.10.25	63.26	63.26	63.26	63.26	1	100	1
2019.11.04	69.85	69.85	69.85	69.85	2	200	1
2019.11.21	69.85	69.85	69.84	69.84	5	500	1
2019.11.27	69.86	69.86	66.75	66.75	3	300	1
2019.12.03	61.32	69.85	61.32	69.85	2	200	1
2019.12.10	64.43	68.99	64.43	68.99	2	200	1
2020.01.08	67.53	67.53	67.53	67.53	3	300	1
2020.01.09	70.76	70.76	70.76	70.76	2	200	1
2020.01.10	65.98	73.74	65.98	70.55	7	700	1
2020.01.14	70.55	73.74	67.61	67.61	5	600	1
2020.01.16	72.96	72.96	72.96	72.96	1	100	1
2020.01.17	72.18	72.96	72.18	72.96	2	200	1
2020.01.20	71.41	71.41	71.41	71.41	1	100	1
2020.01.23	69.86	69.86	69.86	69.86	1	200	1
2020.01.27	73.35	73.35	73.35	73.35	1	100	1
2020.01.28	73.35	73.35	73.35	73.35	1	100	1
2020.01.31	73.35	73.35	73.35	73.35	1	100	1
2020.02.06	73.35	73.35	73.35	73.35	1	200	1
2020.02.13	66.21	66.21	66.21	66.21	1	100	1
2020.02.14	67.54	67.54	67.54	67.54	1	100	1
2020.02.18	68.43	68.43	68.43	68.43	1	100	1
2020.02.27	63.65	63.65	63.65	63.65	1	100	1
2020.02.28	63.65	63.65	63.65	63.65	1	100	1
2020.03.02	58.02	58.97	56.27	57.23	5556	1470200	1
2020.03.03	57.83	58.21	56.52	57.93	5871	940100	1
2020.03.04	58.10	58.56	56.97	57.83	5533	1004100	1
2020.03.05	57.13	57.71	53.58	55.18	7789	1473900	1
2020.03.06	53.17	54.33	52.78	53.80	9947	2575600	1
2020.03.09	48.36	50.68	47.73	50.68	10056	1617800	1
2020.03.10	51.62	52.45	49.19	51.62	7465	1455300	1
2020.03.11	49.68	50.91	45.41	48.43	8175	1959400	1
2020.03.12	41.53	45.13	41.14	44.78	4787	1274500	1
2020.03.13	48.18	52.78	44.24	50.84	10973	1902100	1
2020.03.16	45.01	50.83	44.58	48.41	9863	1871200	1
2020.03.17	48.12	53.34	48.12	52.78	13418	3387900	1
2020.03.18	47.50	53.72	44.64	46.47	16778	3481900	1
2020.03.19	45.10	53.93	42.29	50.03	13326	2545700	1
2020.03.20	52.08	53.94	48.13	52.18	15009	2365200	1
2020.03.23	53.56	55.79	49.78	55.79	12183	3317100	1
2020.03.24	57.05	59.77	55.11	55.89	9134	1553600	1
2020.03.25	55.89	55.89	52.87	54.33	9667	1874600	1
2020.03.26	54.14	54.19	51.16	51.48	11615	2436200	1
2020.03.27	49.99	51.53	48.91	49.69	10437	1975100	1
2020.03.30	48.92	51.07	48.71	50.45	5529	962200	1
2020.03.31	49.57	51.61	49.57	51.49	4497	1011600	1
2020.04.01	50.68	50.84	48.59	49.64	8932	1350800	1
2020.04.02	49.60	52.16	49.10	50.44	8335	1766600	1
2020.04.03	50.70	50.71	48.00	48.83	12843	1724900	1
2020.04.06	50.45	51.22	49.88	50.65	8597	1307200	1
2020.04.07	52.16	53.94	50.96	51.04	7294	1405600	1
2020.04.08	51.08	51.76	48.98	51.23	7150	1712600	1
2020.04.09	51.75	51.75	48.91	49.13	6216	999700	1
2020.04.13	49.13	49.54	48.09	49.33	6058	1171600	1
2020.04.14	49.85	51.56	49.60	49.89	8205	2119400	1
2020.04.15	49.28	49.85	48.85	49.06	7112	1149900	1
2020.04.16	49.52	50.48	48.12	50.34	7933	1495100	1
2020.04.17	50.82	50.82	49.20	49.68	6483	1021300	1
2020.04.20	48.90	50.51	48.67	50.45	9169	1391900	1
2020.04.22	50.53	56.09	50.53	54.89	15296	3738300	1
2020.04.23	56.42	57.04	53.01	53.81	9891	1779400	1
2020.04.24	53.56	53.56	48.95	52.24	15635	2433300	1
2020.04.27	52.80	54.32	51.29	53.92	8986	1618300	1
2020.04.28	54.33	55.23	51.92	52.04	10975	1918100	1
2020.04.29	52.17	53.00	51.23	52.47	9883	1552300	1
2020.04.30	52.00	52.44	51.40	51.40	6970	1550000	1
2020.05.04	51.13	52.57	50.25	51.84	9280	1486100	1
2020.05.05	52.31	54.57	50.94	51.22	9598	1563400	1
2020.05.06	51.42	51.42	50.27	50.81	13838	2180500	1
2020.05.07	51.41	51.68	48.68	50.01	19341	3333000	1
2020.05.08	51.49	51.67	50.17	51.53	7712	1144200	1
2020.05.11	51.28	52.00	50.92	51.62	9117	1586200	1
2020.05.12	51.68	52.25	50.90	51.04	7986	1310700	1
2020.05.13	51.68	51.68	49.78	50.04	7662	1343200	1
2020.05.14	48.47	48.57	45.86	46.91	20721	4098400	1
2020.05.15	46.84	46.85	43.19	43.19	16650	3490400	1
2020.05.18	44.39	44.39	42.71	43.73	13043	2368800	1
2020.05.19	43.98	44.31	42.92	43.12	9616	1771600	1
2020.05.20	43.85	44.09	42.99	43.07	8435	1520400	1
2020.05.21	43.23	44.14	42.86	44.13	9906	1822900	1
2020.05.22	43.84	47.28	43.66	44.80	11150	2497800	1
2020.05.25	46.04	46.75	45.73	46.57	6696	1230900	1
2020.05.26	46.98	47.73	45.93	46.86	9927	1593700	1
2020.05.27	46.98	47.38	46.44	47.28	8132	1391900	1
2020.05.28	47.39	48.86	47.28	47.65	12133	1922700	1
2020.05.29	47.47	49.32	47.23	49.32	12277	3089000	1
2020.06.01	48.70	51.38	48.50	50.70	13250	2508000	1
2020.06.02	50.90	52.31	50.35	52.22	10450	2814700	1
2020.06.03	52.51	55.55	52.49	52.86	17836	4095000	1
2020.06.04	52.54	53.25	52.07	52.90	11327	3425800	1
2020.06.05	54.02	54.02	52.08	52.34	9231	2292300	1
2020.06.08	52.47	52.86	51.55	52.47	9866	2095800	1
2020.06.09	51.37	52.57	51.11	52.37	8167	1805000	1
2020.06.10	52.47	53.19	50.74	51.06	9302	1577800	1
2020.06.12	49.73	51.03	49.08	50.19	11917	1615800	1
2020.06.15	49.52	51.33	48.79	50.90	13064	1712500	1
2020.06.16	51.86	52.31	51.10	51.21	6270	982500	1
2020.06.17	51.30	52.81	50.89	52.23	6377	951600	1
2020.06.18	52.22	52.65	51.37	51.81	8132	1271300	1
2020.06.19	51.78	54.22	51.78	53.58	7839	2736000	1
2020.06.22	53.59	55.10	52.90	53.28	7641	1597300	1
2020.06.23	53.66	55.36	53.44	54.82	7878	1336900	1
2020.06.24	54.11	54.73	53.17	54.25	5565	975900	1
2020.06.25	54.25	55.79	53.75	55.75	6426	1128400	1
2020.06.26	55.05	55.60	53.73	53.88	5522	872900	1
2020.06.29	53.99	57.12	53.96	57.09	8053	1567300	1
2020.06.30	56.44	57.16	55.44	55.58	8906	1652500	1
2020.07.01	55.63	57.54	55.12	56.87	6322	1185700	1
2020.07.02	57.63	57.76	54.89	55.85	8117	1322900	1
2020.07.03	55.85	56.80	55.38	56.80	4474	839200	1
2020.07.06	56.84	57.32	56.53	56.98	5655	985800	1
2020.07.07	56.44	56.61	55.40	55.52	6568	1291600	1
2020.07.08	55.89	56.69	55.76	56.62	6676	1107400	1
2020.07.09	56.63	56.80	55.77	56.01	6454	1106700	1
2020.07.10	56.37	56.37	54.93	55.36	4976	948800	1
2020.07.13	55.79	55.95	53.48	53.70	8111	1309500	1
2020.07.14	54.03	54.93	53.01	54.71	6607	1253600	1
2020.07.15	54.97	55.35	54.61	55.07	8658	1514400	1
2020.07.16	55.07	55.16	53.80	54.48	7546	1323900	1
2020.07.17	54.50	56.30	54.50	55.68	8264	1275300	1
2020.07.20	55.57	56.38	54.77	56.38	7609	1196100	1
2020.07.21	56.47	60.70	56.47	60.29	14961	3067700	1
2020.07.22	60.27	61.16	58.57	59.41	9910	1654400	1
2020.07.23	59.12	59.66	57.56	58.11	3620	593300	1
2020.07.24	58.10	58.71	56.85	58.65	5354	1005100	1
2020.07.27	58.99	59.88	58.97	58.97	6881	1045000	1
2020.07.28	61.08	62.07	59.76	60.86	21288	3966800	1
2020.07.29	61.64	61.73	59.83	61.58	13187	3227900	1
2020.07.30	61.14	61.24	57.43	57.72	20935	4365900	1
2020.07.31	58.07	58.13	54.78	55.60	19782	5037600	1
2020.08.03	55.90	55.90	53.48	53.94	20361	3538800	1
2020.08.04	53.73	54.38	52.08	53.48	17936	4493400	1
2020.08.05	54.11	56.37	53.26	53.76	17894	3594100	1
2020.08.06	53.92	54.35	52.55	52.72	14340	2901200	1
2020.08.07	52.62	53.21	52.11	53.21	13621	2923100	1
2020.08.10	53.25	53.46	51.55	52.14	14015	2892600	1
2020.08.11	52.27	53.72	52.27	53.19	12567	2488700	1
2020.08.12	53.08	53.32	50.99	51.53	11898	2655300	1
