<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	8.96	9.05	8.42	8.42	17452	12636300	1
2015.01.05	8.08	8.38	7.72	7.74	31123	22330700	1
2015.01.06	7.75	7.98	7.28	7.54	33238	27376900	1
2015.01.07	7.76	7.96	7.56	7.90	39968	32590500	1
2015.01.08	8.04	8.66	7.97	8.44	59554	37016500	1
2015.01.09	8.50	8.69	8.21	8.69	24502	20331600	1
2015.01.12	8.64	8.85	8.10	8.20	36041	22855300	1
2015.01.13	8.17	8.62	8.17	8.26	23857	20873400	1
2015.01.14	8.19	8.20	7.89	7.95	25003	17220200	1
2015.01.15	8.22	8.68	8.08	8.65	24742	26976400	1
2015.01.16	8.67	8.91	8.55	8.63	28097	20786800	1
2015.01.19	8.63	8.67	8.26	8.31	15410	8087000	1
2015.01.20	8.65	8.93	8.20	8.32	19432	16939800	1
2015.01.21	8.51	8.87	8.36	8.85	13779	12294700	1
2015.01.22	9.04	9.50	8.98	9.18	26580	25587400	1
2015.01.23	9.12	9.31	8.85	8.91	16280	11668000	1
2015.01.26	8.80	8.93	8.62	8.92	23244	12935800	1
2015.01.27	8.86	9.24	8.55	9.02	23075	17502800	1
2015.01.28	8.45	8.53	7.91	8.07	37689	30095200	1
2015.01.29	8.15	8.23	7.48	7.92	63286	52823200	1
2015.01.30	7.51	7.64	7.37	7.52	45335	35050200	1
2015.02.02	7.75	8.02	7.49	8.02	20147	13644400	1
2015.02.03	8.32	9.16	8.31	9.16	25469	19704500	1
2015.02.04	9.35	9.92	8.88	9.26	41918	34404400	1
2015.02.05	9.13	9.49	8.99	9.04	26938	18797900	1
2015.02.06	9.06	9.07	8.25	8.45	51788	32697300	1
2015.02.09	8.30	8.80	8.10	8.61	33130	18607000	1
2015.02.10	8.48	9.09	8.26	8.26	27137	16245700	1
2015.02.11	8.37	8.49	8.09	8.28	18971	10842600	1
2015.02.12	8.58	8.77	8.54	8.77	16470	18812600	1
2015.02.13	8.84	9.32	8.84	9.15	18612	20587300	1
2015.02.18	9.24	9.55	9.17	9.31	18632	14834300	1
2015.02.19	9.25	9.25	8.91	9.02	11607	11326600	1
2015.02.20	9.06	9.12	8.82	8.92	13300	9083300	1
2015.02.23	8.88	8.88	8.66	8.77	18236	11274800	1
2015.02.24	8.87	9.16	8.87	9.11	21025	14925000	1
2015.02.25	8.46	8.72	8.35	8.70	34440	32068700	1
2015.02.26	8.72	8.83	8.49	8.61	24707	12411500	1
2015.02.27	8.65	8.98	8.48	8.87	28887	17121700	1
2015.03.02	8.76	9.03	8.56	8.68	12523	10943000	1
2015.03.03	8.84	9.03	8.77	8.90	21643	11650800	1
2015.03.04	8.70	8.79	8.56	8.56	19064	12216400	1
2015.03.05	8.65	8.70	8.51	8.62	16484	8675400	1
2015.03.06	8.56	8.66	8.50	8.50	15720	9947000	1
2015.03.09	8.47	8.51	8.20	8.22	31950	15421900	1
2015.03.10	8.10	8.25	7.75	7.78	31845	22319400	1
2015.03.11	7.88	8.01	7.80	7.92	38711	16123400	1
2015.03.12	8.13	8.22	7.68	7.75	21952	14718300	1
2015.03.13	7.57	7.73	7.42	7.62	51142	30792100	1
2015.03.16	7.76	7.79	7.46	7.72	33306	17064800	1
