<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	0.46	0.47	0.44	0.44	311	800000	1
2015.01.05	0.44	0.44	0.41	0.41	739	1908000	1
2015.01.06	0.41	0.42	0.37	0.37	791	2138000	1
2015.01.07	0.37	0.39	0.36	0.37	435	1481000	1
2015.01.08	0.38	0.38	0.36	0.38	474	1617000	1
2015.01.09	0.37	0.48	0.37	0.44	2400	10607000	1
2015.01.12	0.43	0.44	0.38	0.38	2087	8311000	1
2015.01.13	0.38	0.39	0.37	0.37	890	2984000	1
2015.01.14	0.37	0.37	0.34	0.34	586	2062000	1
2015.01.15	0.36	0.36	0.34	0.35	393	1643000	1
2015.01.16	0.36	0.36	0.32	0.32	777	4357000	1
2015.01.19	0.32	0.32	0.29	0.29	886	4474000	1
2015.01.20	0.30	0.34	0.30	0.33	2012	11685000	1
2015.01.21	0.37	0.44	0.35	0.44	2587	17214000	1
2015.01.22	0.50	0.68	0.50	0.63	3789	24091000	1
2015.01.23	0.68	0.77	0.61	0.63	6504	30216000	1
2015.01.26	0.60	0.68	0.57	0.57	3807	18819000	1
2015.01.27	0.56	0.58	0.44	0.44	4581	25127000	1
2015.01.28	0.45	0.48	0.41	0.43	3308	15392000	1
2015.01.29	0.43	0.44	0.39	0.40	2306	12915000	1
2015.01.30	0.40	0.41	0.37	0.39	1051	5521000	1
2015.02.02	0.39	0.49	0.38	0.48	2018	12532000	1
2015.02.03	0.53	0.58	0.49	0.50	2910	18478000	1
2015.02.04	0.52	0.54	0.49	0.50	1368	8064000	1
2015.02.05	0.50	0.52	0.50	0.50	727	3198000	1
2015.02.06	0.50	0.51	0.47	0.48	1037	3892000	1
2015.02.09	0.46	0.51	0.46	0.49	732	2986000	1
2015.02.10	0.50	0.51	0.48	0.49	340	1368000	1
2015.02.11	0.49	0.50	0.46	0.48	549	2233000	1
2015.02.12	0.48	0.51	0.48	0.49	1525	5531000	1
2015.02.13	0.50	0.55	0.50	0.54	1452	8438000	1
2015.02.18	0.55	0.60	0.55	0.55	1024	4455000	1
2015.02.19	0.57	0.57	0.54	0.55	725	3180000	1
2015.02.20	0.56	0.57	0.55	0.56	810	4000000	1
2015.02.23	0.55	0.57	0.55	0.56	844	2053000	1
2015.02.24	0.56	0.57	0.55	0.56	810	2435000	1
2015.02.25	0.55	0.56	0.54	0.54	753	2019000	1
2015.02.26	0.54	0.55	0.53	0.54	910	2359000	1
2015.02.27	0.55	0.55	0.54	0.54	717	2087000	1
2015.03.02	0.54	0.54	0.48	0.49	711	3083000	1
2015.03.03	0.49	0.50	0.49	0.50	466	1826000	1
2015.03.04	0.49	0.51	0.49	0.50	427	1649000	1
2015.03.05	0.51	0.51	0.48	0.49	432	1373000	1
2015.03.06	0.49	0.49	0.48	0.49	220	1197000	1
2015.03.09	0.49	0.49	0.46	0.47	419	1734000	1
2015.03.10	0.47	0.47	0.44	0.45	531	2566000	1
2015.03.11	0.45	0.46	0.45	0.46	256	806000	1
