<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	15.67	15.72	14.99	15.30	7600	1375800	1
2015.01.05	15.03	15.38	14.91	15.38	7186	1468200	1
2015.01.06	15.40	15.73	15.12	15.73	10026	2408100	1
2015.01.07	15.73	15.78	15.17	15.45	10628	1810700	1
2015.01.08	15.62	15.62	15.04	15.23	7234	1508700	1
2015.01.09	15.33	15.33	14.83	15.28	7685	2705800	1
2015.01.12	15.18	15.45	14.99	15.45	6041	2376000	1
2015.01.13	15.49	15.49	15.05	15.05	6468	2980600	1
2015.01.14	14.93	15.50	14.93	15.50	9337	1845400	1
2015.01.15	15.43	15.56	15.13	15.13	6986	1511900	1
2015.01.16	15.19	15.87	15.10	15.59	8656	1525300	1
2015.01.19	15.43	15.73	15.38	15.50	4774	787000	1
2015.01.20	15.73	15.73	15.10	15.34	6752	1544600	1
2015.01.21	15.43	15.75	15.16	15.45	10405	5424400	1
2015.01.22	15.56	15.61	15.11	15.19	7596	1940700	1
2015.01.23	15.13	15.43	15.06	15.42	7342	2234600	1
2015.01.26	15.27	15.30	15.02	15.10	4388	1075200	1
2015.01.27	15.06	15.48	14.94	15.48	5664	1087700	1
2015.01.28	15.35	15.42	15.15	15.32	5926	1911800	1
2015.01.29	15.30	15.47	15.03	15.16	7030	1634900	1
2015.01.30	15.03	15.22	14.96	15.19	8534	2034900	1
2015.02.02	15.17	15.43	15.16	15.33	8124	1478600	1
2015.02.03	15.45	15.63	15.25	15.44	7956	2185800	1
2015.02.04	15.43	15.50	15.02	15.10	12143	2162000	1
2015.02.05	15.08	15.19	13.57	14.39	22025	17136100	1
2015.02.06	14.26	14.47	13.21	13.34	19341	9279100	1
2015.02.09	13.39	13.72	12.18	12.73	20829	9462300	1
2015.02.10	12.70	13.49	12.65	13.32	12991	3598900	1
2015.02.11	13.21	13.51	13.00	13.51	10371	1898400	1
2015.02.12	13.87	13.87	13.16	13.27	10429	2698200	1
2015.02.13	13.24	13.45	13.04	13.37	7763	1756300	1
2015.02.18	13.45	14.40	13.29	14.33	12249	2665800	1
2015.02.19	14.33	14.33	13.67	13.68	6545	1821000	1
2015.02.20	13.64	13.90	13.64	13.78	4719	939000	1
2015.02.23	13.72	14.10	13.65	13.88	7347	1363200	1
2015.02.24	14.01	14.12	13.73	14.07	6380	1668400	1
2015.02.25	13.96	14.52	13.77	14.52	5859	2157200	1
2015.02.26	14.51	14.90	14.43	14.59	8407	3863600	1
