<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	4.73	4.78	4.56	4.71	3462	5389500	1
2015.01.05	4.72	4.78	4.63	4.66	2540	4592000	1
2015.01.06	4.66	4.88	4.66	4.74	4716	5375000	1
2015.01.07	4.77	4.92	4.77	4.87	2453	4146500	1
2015.01.08	4.88	4.93	4.85	4.90	2092	2220500	1
2015.01.09	4.90	4.93	4.81	4.84	1968	1934500	1
2015.01.12	4.83	4.97	4.80	4.96	1834	3496000	1
2015.01.13	4.99	5.04	4.90	4.96	3487	8138000	1
2015.01.14	4.96	5.14	4.92	4.93	2914	3819000	1
2015.01.15	4.93	5.00	4.90	4.90	2845	3778000	1
2015.01.16	4.92	5.08	4.90	5.03	2871	3518500	1
2015.01.19	5.03	5.09	4.92	4.92	1376	5054000	1
2015.01.20	4.96	5.03	4.94	5.00	2023	1940000	1
2015.01.21	5.02	5.07	4.92	4.95	2801	5230000	1
2015.01.22	4.98	5.00	4.84	4.85	2415	5379000	1
2015.01.23	4.87	4.90	4.80	4.90	2842	3013500	1
2015.01.26	4.83	4.96	4.83	4.90	1978	2070500	1
2015.01.27	4.88	4.90	4.73	4.85	3169	3568000	1
2015.01.28	4.85	4.93	4.80	4.88	1768	2278500	1
2015.01.29	4.88	4.92	4.85	4.89	3084	3606500	1
2015.01.30	4.90	4.92	4.79	4.87	2959	6168000	1
2015.02.02	4.87	4.90	4.83	4.88	2123	3250500	1
2015.02.03	4.88	5.00	4.87	4.97	3940	6688500	1
2015.02.04	4.95	5.03	4.76	4.79	5426	6042000	1
2015.02.05	4.79	4.90	4.78	4.81	3039	3073500	1
2015.02.06	4.81	4.90	4.77	4.86	1772	2223500	1
2015.02.09	4.88	4.95	4.81	4.95	3389	4773000	1
2015.02.10	4.94	5.06	4.89	4.90	2398	4053000	1
2015.02.11	4.91	5.01	4.86	4.87	2855	3393500	1
2015.02.12	4.93	4.93	4.87	4.90	2165	5908000	1
2015.02.13	4.96	5.02	4.89	4.94	2006	4388000	1
2015.02.18	5.01	5.17	4.95	5.12	1861	7997000	1
2015.02.19	5.14	5.26	5.12	5.21	1641	3597000	1
2015.02.20	5.27	5.28	5.16	5.21	1707	1972500	1
2015.02.23	5.23	5.31	5.17	5.19	2932	2820500	1
2015.02.24	5.21	5.26	5.15	5.20	3513	5371000	1
2015.02.25	5.21	5.33	5.18	5.29	3121	2724000	1
2015.02.26	5.31	5.40	5.27	5.34	3794	4022000	1
2015.02.27	5.37	5.52	5.35	5.39	2547	4407000	1
2015.03.02	5.39	5.41	5.21	5.29	3338	6810500	1
2015.03.03	5.32	5.35	5.26	5.26	2594	3015500	1
2015.03.04	5.29	5.31	5.17	5.27	2187	2102500	1
2015.03.05	5.29	5.34	5.25	5.29	1362	1912000	1
2015.03.06	5.30	5.30	5.15	5.16	1789	2195500	1
2015.03.09	5.16	5.21	5.08	5.15	2520	2969500	1
2015.03.10	5.15	5.17	5.06	5.06	2991	3080000	1
2015.03.11	5.07	5.12	5.04	5.11	2439	2526000	1
2015.03.12	5.18	5.27	5.10	5.11	3333	3878500	1
2015.03.13	5.11	5.15	4.97	5.02	3128	2731500	1
2015.03.16	5.02	5.04	4.89	4.92	4464	8111500	1
2015.03.17	4.92	4.94	4.82	4.88	7695	8294000	1
2015.03.18	4.88	4.91	4.86	4.90	5411	19704000	1
2015.03.19	4.91	4.99	4.89	4.99	3516	8854000	1
2015.03.20	5.02	5.10	5.00	5.02	2774	5543000	1
2015.03.23	5.02	5.04	4.93	4.94	2871	3719000	1
2015.03.24	4.96	5.10	4.94	5.09	3611	7119000	1
2015.03.25	5.07	5.27	5.06	5.23	4609	5017500	1
2015.03.26	5.21	5.29	5.15	5.27	6532	6957500	1
2015.03.27	5.31	5.31	5.12	5.24	4141	4065500	1
2015.03.30	5.20	5.38	5.18	5.32	3346	3464000	1
2015.03.31	5.35	5.48	5.32	5.43	4875	5803500	1
2015.04.01	5.47	5.52	5.41	5.42	4882	3289000	1
2015.04.02	5.43	5.76	5.42	5.71	4435	4330500	1
2015.04.06	5.79	5.82	5.68	5.77	4708	3791000	1
2015.04.07	5.74	5.83	5.68	5.82	7515	6847500	1
2015.04.08	5.76	6.06	5.75	5.91	8248	7955000	1
