<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	9.19	9.28	8.57	8.83	6116	2671500	1
2015.01.05	8.80	8.86	8.53	8.81	4404	1591000	1
2015.01.06	8.76	8.84	8.47	8.81	2945	1064800	1
2015.01.07	8.87	9.42	8.81	9.30	3842	1012100	1
2015.01.08	9.32	9.34	8.92	9.16	2547	706000	1
2015.01.09	8.96	9.08	8.75	8.88	1822	542400	1
2015.01.12	8.88	8.91	8.67	8.78	3208	744000	1
2015.01.13	8.78	8.89	8.63	8.65	4313	1358900	1
2015.01.14	8.53	8.89	8.49	8.77	2452	773100	1
2015.01.15	8.91	9.20	8.88	9.08	3798	1547300	1
2015.01.16	9.10	9.34	9.05	9.12	3761	1085900	1
2015.01.19	9.03	9.13	8.81	8.87	2926	480200	1
2015.01.20	8.96	9.19	8.87	9.01	3440	893700	1
2015.01.21	9.12	9.28	8.94	9.12	3229	818200	1
2015.01.22	9.34	9.55	9.07	9.12	3295	1050200	1
2015.01.23	9.32	9.32	8.92	9.03	2055	501000	1
2015.01.26	8.98	9.42	8.96	9.38	3060	986400	1
2015.01.27	9.26	9.30	8.89	9.16	4986	1347600	1
2015.01.28	9.05	9.40	8.93	9.32	4642	1093800	1
2015.01.29	9.37	9.45	9.11	9.28	3047	1028000	1
2015.01.30	9.17	9.17	8.64	8.64	4211	1136800	1
2015.02.02	8.61	8.74	8.50	8.67	2935	943600	1
2015.02.03	8.78	9.06	8.59	9.02	3181	792800	1
2015.02.04	9.15	9.30	8.74	9.26	3206	882900	1
2015.02.05	9.09	9.35	9.09	9.19	2267	605900	1
2015.02.06	9.15	9.40	8.89	9.23	5591	1568200	1
2015.02.09	9.19	9.38	9.08	9.38	1065	261000	1
2015.02.10	9.26	9.38	8.99	8.99	2873	823800	1
2015.02.11	9.01	9.13	8.85	9.05	3271	774400	1
2015.02.12	9.16	9.40	9.06	9.40	3016	723700	1
2015.02.13	9.40	9.92	9.33	9.83	2528	887900	1
2015.02.18	9.91	10.05	9.77	9.89	4107	1291400	1
2015.02.19	9.80	10.01	9.78	9.89	1080	285600	1
2015.02.20	9.85	9.89	9.60	9.72	2786	1037300	1
2015.02.23	9.71	9.88	9.61	9.73	1525	450400	1
2015.02.24	9.73	10.02	9.65	9.87	2888	876300	1
2015.02.25	9.78	9.89	9.69	9.88	1633	470200	1
2015.02.26	9.91	10.05	9.76	9.96	1991	542000	1
2015.02.27	9.96	10.20	9.70	9.80	3719	975200	1
2015.03.02	9.81	9.81	9.44	9.53	2002	549900	1
2015.03.03	9.59	9.62	9.42	9.57	1727	403400	1
2015.03.04	9.35	9.77	9.26	9.75	3582	835900	1
2015.03.05	9.71	10.02	9.57	9.91	1702	520800	1
2015.03.06	9.82	9.89	9.60	9.69	3475	1000200	1
2015.03.09	9.64	9.73	9.49	9.62	3001	845900	1
2015.03.10	9.51	9.68	9.26	9.37	3700	919200	1
2015.03.11	9.37	9.51	9.26	9.40	3518	1162900	1
2015.03.12	9.57	9.61	9.17	9.32	4457	1126600	1
2015.03.13	9.05	9.43	8.94	9.33	5177	1056200	1
2015.03.16	9.50	9.55	9.18	9.42	2906	670900	1
