<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	14.77	14.77	14.31	14.46	6144	2034400	1
2015.01.05	14.33	14.59	14.21	14.46	5608	1374100	1
2015.01.06	14.46	14.79	14.25	14.62	5165	2640000	1
2015.01.07	14.69	15.32	14.50	14.65	7372	1223900	1
2015.01.08	14.90	15.02	14.42	14.77	4115	1014700	1
2015.01.09	14.64	14.68	14.43	14.43	5455	797100	1
2015.01.12	14.46	14.46	14.11	14.23	4384	2006500	1
2015.01.13	14.15	14.36	13.43	13.43	7047	4429900	1
2015.01.14	13.16	13.36	12.92	13.27	5913	1754200	1
2015.01.15	13.29	13.69	13.29	13.49	6288	1626500	1
2015.01.16	13.60	13.91	13.51	13.71	6922	1656800	1
2015.01.19	13.57	13.70	13.02	13.02	3075	441800	1
2015.01.20	13.13	13.58	13.00	13.00	4197	840200	1
2015.01.21	13.10	13.39	12.92	13.34	6890	1364300	1
2015.01.22	13.47	13.71	13.06	13.16	3658	787000	1
2015.01.23	13.04	13.21	11.62	11.62	6778	1566100	1
2015.01.26	11.45	11.46	11.13	11.41	6239	2059700	1
2015.01.27	11.15	12.03	11.00	11.86	5277	1283400	1
2015.01.28	11.80	11.80	11.25	11.45	5216	4321600	1
2015.01.29	11.30	11.80	11.07	11.61	5398	3517000	1
2015.01.30	11.39	11.48	10.87	11.45	6331	2550800	1
2015.02.02	11.45	11.46	11.15	11.43	2791	709100	1
2015.02.03	11.49	11.67	11.24	11.60	4988	2497800	1
2015.02.04	11.63	12.17	11.53	12.14	5659	2306200	1
2015.02.05	12.01	12.25	11.84	12.10	3168	1458600	1
2015.02.06	11.92	12.04	11.45	12.04	4790	1040800	1
2015.02.09	11.86	12.23	11.55	12.07	4915	845900	1
2015.02.10	12.07	12.43	11.91	12.27	5021	1252800	1
2015.02.11	12.27	12.55	12.10	12.43	6370	1409000	1
2015.02.12	12.62	13.02	12.50	12.83	4904	1130000	1
