<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	8.74	8.74	8.15	8.23	2858	987234	1
2015.01.05	8.25	8.27	7.96	8.06	4661	2088553	1
2015.01.06	8.05	8.12	7.73	7.89	5157	1449804	1
2015.01.07	7.92	8.02	7.81	7.85	3375	1750723	1
2015.01.08	7.93	7.97	7.78	7.78	2889	935806	1
2015.01.09	7.81	7.81	7.50	7.74	4621	929262	1
2015.01.12	7.74	7.74	7.50	7.64	2144	706923	1
2015.01.13	7.71	7.75	7.55	7.66	3240	1095337	1
2015.01.14	7.57	7.96	7.57	7.92	3972	1498526	1
2015.01.15	7.90	7.94	7.71	7.71	5687	3908864	1
2015.01.16	7.70	8.02	7.67	7.90	1938	569042	1
2015.01.19	7.85	8.06	7.79	7.88	2394	732330	1
2015.01.20	7.98	8.07	7.85	8.01	2954	1374018	1
2015.01.21	7.93	8.43	7.93	8.32	3598	1063365	1
2015.01.22	8.38	8.40	8.19	8.40	1831	1245631	1
2015.01.23	8.34	8.40	8.27	8.30	1046	288136	1
2015.01.26	8.28	8.32	8.04	8.32	2744	742876	1
2015.01.27	8.41	8.41	8.21	8.28	2783	678576	1
2015.01.28	8.24	8.25	7.94	8.14	2253	726701	1
2015.01.29	8.05	8.08	7.93	8.00	2855	858252	1
2015.01.30	7.92	7.92	7.65	7.72	2658	996475	1
2015.02.02	7.67	7.67	7.38	7.47	6369	1377879	1
2015.02.03	7.49	7.63	7.37	7.56	2311	599606	1
2015.02.04	7.58	7.79	7.47	7.79	1720	535079	1
2015.02.05	7.81	8.03	7.69	8.01	3700	1024955	1
2015.02.06	8.01	8.01	7.53	7.78	5432	1397562	1
2015.02.09	7.73	7.98	7.66	7.95	2977	1490923	1
2015.02.10	7.98	7.98	7.71	7.92	3915	892708	1
2015.02.11	7.90	7.93	7.73	7.85	2935	605711	1
2015.02.12	7.86	8.11	7.78	7.78	3892	1037713	1
2015.02.13	7.68	8.12	7.67	8.12	3962	1382572	1
2015.02.18	8.13	8.37	8.12	8.37	1780	768182	1
2015.02.19	8.36	8.36	8.10	8.32	3826	839646	1
2015.02.20	8.23	8.39	8.14	8.17	2735	825456	1
2015.02.23	8.15	8.38	8.09	8.32	3583	793956	1
2015.02.24	8.29	8.53	8.29	8.53	3542	921293	1
2015.02.25	8.56	8.56	8.35	8.53	2562	962620	1
2015.02.26	8.54	8.59	8.45	8.59	2567	807653	1
2015.02.27	8.63	8.93	8.58	8.85	6692	2324353	1
2015.03.02	8.85	8.92	8.71	8.83	4675	1295895	1
2015.03.03	8.78	8.88	8.60	8.73	5924	1659596	1
2015.03.04	8.67	8.88	8.59	8.71	6329	1882518	1
2015.03.05	8.75	8.82	8.60	8.79	4986	1303979	1
2015.03.06	8.78	8.82	8.65	8.71	4092	1028357	1
2015.03.09	8.53	8.69	8.40	8.49	4908	1286180	1
2015.03.10	8.45	8.81	8.40	8.76	3770	963223	1
2015.03.11	8.77	8.77	8.55	8.69	3172	986065	1
2015.03.12	8.74	9.00	8.66	8.76	5826	1537892	1
2015.03.13	8.76	8.87	8.61	8.79	3912	713955	1
2015.03.16	8.77	8.98	8.72	8.80	2854	1471235	1
2015.03.17	8.78	8.92	8.74	8.89	4116	981253	1
2015.03.18	8.86	9.06	8.78	9.01	3199	828045	1
2015.03.19	9.00	9.11	8.93	9.03	2160	618587	1
2015.03.20	9.09	9.47	9.07	9.43	5931	1609232	1
2015.03.23	9.45	9.45	9.20	9.22	1858	536457	1
2015.03.24	9.26	9.53	9.01	9.53	5947	1342863	1
2015.03.25	9.53	9.65	9.40	9.43	3176	865181	1
2015.03.26	9.38	9.41	9.12	9.30	2212	674351	1
2015.03.27	9.30	9.46	9.07	9.23	2970	718998	1
2015.03.30	9.31	9.61	9.31	9.46	3063	1245973	1
2015.03.31	9.45	9.61	9.33	9.61	4073	1294369	1
2015.04.01	9.67	9.72	9.54	9.59	2170	651624	1
2015.04.02	9.59	9.77	9.55	9.68	2153	811510	1
2015.04.06	9.69	9.93	9.69	9.84	2699	784578	1
2015.04.07	9.83	9.91	9.69	9.70	2685	683957	1
2015.04.08	9.77	10.21	9.74	9.94	4430	1153807	1
2015.04.09	9.81	10.11	9.60	9.60	4491	1209684	1
2015.04.10	9.59	9.88	9.54	9.84	2172	538108	1
2015.04.13	9.78	9.92	9.69	9.77	3670	962759	1
2015.04.14	9.77	9.91	9.72	9.89	2024	468995	1
2015.04.15	9.88	10.04	9.86	9.91	2405	573024	1
2015.04.16	9.94	9.98	9.79	9.94	2653	501704	1
2015.04.17	10.01	10.02	9.81	9.90	1378	257333	1
2015.04.20	9.88	10.03	9.78	9.95	2113	472280	1
2015.04.22	9.94	10.11	9.92	10.05	2497	626200	1
2015.04.23	10.02	10.21	10.00	10.12	2428	1256294	1
2015.04.24	10.15	10.25	10.05	10.05	4485	1057891	1
2015.04.27	10.12	10.26	9.84	9.91	5010	1188596	1
2015.04.28	10.03	10.07	9.88	10.01	2917	669679	1
2015.04.29	10.04	10.12	9.60	9.92	3078	1046507	1
2015.04.30	9.98	10.05	9.64	9.77	4372	1502048	1
2015.05.04	9.94	9.94	9.66	9.68	3643	998247	1
2015.05.05	9.70	9.74	9.42	9.53	5229	2024722	1
2015.05.06	9.57	9.65	9.48	9.63	3079	1192567	1
2015.05.07	9.68	9.74	9.37	9.46	3653	930763	1
2015.05.08	9.53	9.60	9.43	9.57	3404	1193390	1
2015.05.11	9.57	9.67	9.51	9.51	2488	668836	1
2015.05.12	9.46	9.57	9.46	9.53	3492	811761	1
2015.05.13	9.50	9.72	9.49	9.63	3212	828628	1
2015.05.14	9.56	9.76	9.56	9.76	3876	956413	1
2015.05.15	9.80	10.08	9.77	9.98	3439	724611	1
2015.05.18	9.96	10.01	9.50	9.75	3537	1546910	1
2015.05.19	9.81	10.12	9.75	10.08	4449	3705165	1
2015.05.20	10.08	10.10	9.97	10.01	5313	2501934	1
2015.05.21	10.07	10.07	9.83	9.83	2751	1522069	1
2015.05.22	9.70	9.87	9.19	9.37	3827	1870103	1
2015.05.25	9.15	9.42	9.12	9.35	1500	467930	1
2015.05.26	9.28	9.34	8.90	8.97	4733	1136706	1
2015.05.27	8.95	9.58	8.95	9.55	3892	1220100	1
2015.05.28	9.46	9.58	9.31	9.53	3908	1147721	1
2015.05.29	9.46	9.46	9.02	9.03	2952	1124049	1
2015.06.01	9.05	9.27	9.02	9.22	2733	679736	1
2015.06.02	9.26	9.42	9.19	9.33	2741	569396	1
2015.06.03	9.42	9.42	9.00	9.02	3553	830985	1
2015.06.05	9.11	9.26	8.98	9.15	3429	1072395	1
2015.06.08	9.15	9.24	8.93	8.98	2530	1063493	1
2015.06.09	8.89	9.02	8.85	8.91	3035	963788	1
2015.06.10	9.00	9.24	8.96	9.19	1930	615176	1
2015.06.11	9.23	9.28	8.97	9.13	3046	629386	1
2015.06.12	9.01	9.20	9.00	9.03	2489	927484	1
2015.06.15	9.03	9.31	9.00	9.29	2288	558740	1
2015.06.16	9.27	9.39	9.20	9.35	1590	531563	1
2015.06.17	9.35	9.44	9.24	9.39	1634	416757	1
2015.06.18	9.38	9.50	9.31	9.42	2365	572665	1
2015.06.19	9.54	9.54	9.37	9.46	1921	696015	1
2015.06.22	9.46	9.54	9.33	9.42	2928	680673	1
2015.06.23	9.38	9.46	9.33	9.33	2578	724508	1
2015.06.24	9.35	9.51	9.22	9.51	2230	598434	1
2015.06.25	9.46	9.95	9.42	9.84	4047	847958	1
2015.06.26	9.66	10.01	9.66	9.95	4854	1202412	1
2015.06.29	9.97	10.26	9.74	10.08	3756	979151	1
