<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	10.29	10.39	9.88	10.04	7180	2715900	1
2015.01.05	10.03	10.07	9.80	9.86	11809	3634200	1
2015.01.06	9.88	10.45	9.87	10.45	13320	5444700	1
2015.01.07	10.42	10.50	10.26	10.38	12741	4074700	1
2015.01.08	10.33	10.37	10.12	10.29	10522	3556700	1
2015.01.09	10.29	10.29	9.98	10.11	7612	2601500	1
2015.01.12	10.09	10.15	9.80	9.94	12002	4013500	1
2015.01.13	9.88	10.02	9.71	9.76	10241	4015200	1
2015.01.14	9.69	9.78	9.51	9.67	10396	4724500	1
2015.01.15	9.73	9.79	9.54	9.61	6891	3947200	1
2015.01.16	9.62	9.73	9.46	9.53	15044	3533200	1
2015.01.19	9.51	9.55	9.29	9.51	8140	3786900	1
2015.01.20	9.64	9.71	9.19	9.28	9783	3467200	1
2015.01.21	9.29	9.55	9.11	9.48	21421	10692000	1
2015.01.22	9.57	9.57	9.14	9.19	15445	6343500	1
2015.01.23	9.19	9.36	8.97	9.12	14793	5587700	1
2015.01.26	9.20	9.44	8.98	9.32	16412	5101100	1
2015.01.27	9.25	9.37	9.10	9.23	11140	3356700	1
2015.01.28	9.25	9.40	9.06	9.33	9451	3290800	1
2015.01.29	9.38	9.77	9.30	9.72	16206	5212200	1
2015.01.30	9.79	9.96	9.64	9.93	15111	6125800	1
2015.02.02	9.88	10.13	9.85	10.12	14662	7191200	1
2015.02.03	10.18	10.24	9.91	10.07	13420	4360800	1
2015.02.04	10.12	10.37	9.92	10.37	11970	4318700	1
2015.02.05	10.25	10.45	10.22	10.22	10906	4261700	1
2015.02.06	10.14	10.44	10.09	10.41	13024	5608100	1
2015.02.09	10.33	10.52	10.28	10.37	8150	3049700	1
2015.02.10	10.33	10.48	10.31	10.33	8676	4193900	1
2015.02.11	10.35	10.88	10.35	10.87	18897	7286500	1
2015.02.12	10.91	11.03	10.60	10.60	10784	5054100	1
2015.02.13	10.69	10.78	10.47	10.65	8762	4066100	1
2015.02.18	10.68	10.76	10.54	10.76	7970	2512900	1
2015.02.19	10.77	10.92	10.63	10.91	7009	2579500	1
2015.02.20	10.90	11.20	10.83	11.20	6455	2503900	1
2015.02.23	11.15	11.42	10.96	11.09	10426	3616900	1
2015.02.24	11.03	11.07	10.41	10.50	19062	9086100	1
2015.02.25	10.58	10.78	10.49	10.68	12968	6068400	1
2015.02.26	10.66	11.06	10.57	11.06	8938	4368700	1
2015.02.27	11.01	11.21	10.90	11.02	15364	6882200	1
2015.03.02	10.97	11.37	10.93	11.37	13384	5231500	1
2015.03.03	11.36	11.46	11.27	11.42	11413	3689600	1
2015.03.04	11.48	11.96	11.48	11.79	19551	8178700	1
2015.03.05	11.69	11.97	11.47	11.74	17734	6227200	1
2015.03.06	11.74	12.12	11.56	12.06	14625	4753500	1
2015.03.09	12.29	12.29	11.73	12.23	19401	7649600	1
2015.03.10	12.46	12.48	11.97	12.15	24398	9784900	1
2015.03.11	12.16	12.41	12.05	12.38	17072	7411800	1
2015.03.12	12.31	12.64	12.29	12.62	20208	7293500	1
2015.03.13	12.84	13.25	12.75	13.05	22268	14422300	1
2015.03.16	12.89	13.06	12.39	12.64	22166	9466300	1
2015.03.17	12.80	13.00	12.72	12.89	17041	8567600	1
2015.03.18	12.80	12.92	12.42	12.42	23417	12267200	1
2015.03.19	12.67	13.16	12.44	13.16	22988	11472000	1
2015.03.20	13.16	13.32	12.73	12.89	30037	10007200	1
2015.03.23	12.88	12.89	12.36	12.70	20963	7838500	1
2015.03.24	12.56	12.97	12.40	12.68	31314	7966900	1
2015.03.25	12.79	13.26	12.69	13.26	16024	6236100	1
2015.03.26	13.21	13.46	12.99	13.46	15477	4137900	1
2015.03.27	13.44	13.64	13.30	13.52	18883	7754000	1
2015.03.30	13.61	13.68	13.38	13.54	14245	5375900	1
2015.03.31	13.55	13.66	13.18	13.52	15489	5627000	1
2015.04.01	13.34	13.46	13.05	13.19	28542	8456100	1
2015.04.02	13.22	13.33	13.03	13.03	15045	4875100	1
2015.04.06	12.96	13.10	12.88	12.95	15974	5738400	1
2015.04.07	13.12	13.22	13.00	13.12	12266	4488400	1
2015.04.08	12.99	13.07	12.82	12.93	16735	6420800	1
2015.04.09	12.89	13.27	12.85	13.27	21608	10958500	1
2015.04.10	13.33	13.54	13.13	13.44	17461	9432500	1
2015.04.13	13.53	13.57	13.37	13.52	11661	5444300	1
2015.04.14	13.46	13.75	13.24	13.39	16015	9447900	1
2015.04.15	13.47	13.57	13.20	13.40	15841	6350400	1
2015.04.16	13.45	13.63	13.30	13.63	12499	5031100	1
2015.04.17	13.63	13.82	13.59	13.71	12766	4515900	1
2015.04.20	13.69	13.74	13.40	13.62	7856	3820300	1
2015.04.22	13.62	13.88	13.47	13.71	20803	6505300	1
2015.04.23	13.69	13.75	13.50	13.71	14574	5420700	1
2015.04.24	13.73	13.84	13.46	13.54	12756	6071500	1
2015.04.27	13.57	13.63	12.69	12.80	31873	10950100	1
2015.04.28	12.75	13.11	12.43	13.11	19125	7984900	1
2015.04.29	13.07	13.50	12.92	13.50	13903	5359500	1
2015.04.30	13.52	13.80	13.47	13.80	19984	8997700	1
2015.05.04	14.10	14.25	14.04	14.14	16035	6733700	1
2015.05.05	14.08	14.14	13.86	14.13	9026	3567300	1
2015.05.06	14.15	14.15	13.85	14.13	12667	3865600	1
2015.05.07	14.16	14.18	13.81	13.96	10468	3391700	1
2015.05.08	13.87	14.09	13.86	13.97	9595	4419700	1
2015.05.11	13.97	14.34	13.91	14.34	11004	9928100	1
2015.05.12	14.37	14.54	14.22	14.37	14309	4566500	1
2015.05.13	14.35	14.37	13.96	14.17	13621	4772100	1
2015.05.14	14.22	14.37	14.00	14.33	10143	3638900	1
2015.05.15	14.37	14.40	14.06	14.30	14059	5138000	1
2015.05.18	14.40	14.54	14.10	14.54	10619	3940200	1
2015.05.19	14.56	14.60	14.22	14.34	13608	4207500	1
2015.05.20	14.26	14.48	14.12	14.12	8430	4183400	1
2015.05.21	14.12	14.16	13.71	14.03	11359	6221100	1
2015.05.22	14.09	14.30	13.97	14.30	14588	3796300	1
2015.05.25	14.39	14.53	14.37	14.46	8740	3535100	1
2015.05.26	14.49	15.06	14.46	15.06	15947	7707500	1
2015.05.27	15.09	15.49	14.90	15.36	19493	6794400	1
2015.05.28	15.32	15.56	14.97	15.28	13215	5012900	1
2015.05.29	15.18	15.40	15.06	15.40	20027	8357300	1
2015.06.01	15.32	15.32	14.72	15.04	12636	5898600	1
2015.06.02	15.05	15.06	14.74	14.93	12038	4425100	1
2015.06.03	14.94	14.96	14.65	14.86	15539	5438800	1
2015.06.05	15.05	15.23	14.97	15.16	9174	4505700	1
2015.06.08	15.11	15.11	14.86	14.96	7308	2786000	1
2015.06.09	14.84	15.14	14.84	15.12	6603	2327800	1
2015.06.10	15.09	15.12	14.74	14.95	17750	6730600	1
2015.06.11	15.08	15.20	14.73	14.84	10083	4943500	1
2015.06.12	14.91	14.91	14.44	14.89	9399	5128600	1
2015.06.15	14.77	14.90	14.63	14.86	8105	2929900	1
2015.06.16	14.74	14.87	14.70	14.72	7571	3200300	1
2015.06.17	14.77	14.85	14.33	14.43	11074	6785300	1
