<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	10.04	10.32	9.98	10.01	8947	2782400	1
2015.01.05	9.82	10.10	9.75	9.79	12288	3100400	1
2015.01.06	9.83	9.94	9.68	9.73	7050	2745400	1
2015.01.07	9.80	10.00	9.63	9.89	6978	1852300	1
2015.01.08	9.89	10.47	9.81	10.30	7730	2106100	1
2015.01.09	10.38	10.38	9.96	9.97	4711	1328100	1
2015.01.12	9.87	10.13	9.85	10.04	8435	1824100	1
2015.01.13	10.04	10.18	9.82	9.99	6468	1933900	1
2015.01.14	9.83	10.12	9.82	10.00	8241	2563800	1
2015.01.15	9.99	10.31	9.98	10.16	7345	2435000	1
2015.01.16	10.12	10.41	10.12	10.25	6857	2039700	1
2015.01.19	10.15	10.15	9.74	9.88	4105	873600	1
2015.01.20	9.97	10.25	9.92	10.21	5980	2430000	1
2015.01.21	10.14	10.55	10.10	10.51	9145	4031700	1
2015.01.22	10.69	10.77	10.36	10.55	8015	2952100	1
2015.01.23	10.50	10.91	10.48	10.65	7340	2409000	1
2015.01.26	10.48	10.56	10.31	10.42	9281	5683700	1
2015.01.27	10.38	10.44	10.06	10.34	13779	3087100	1
2015.01.28	10.19	10.54	10.19	10.34	6561	1727400	1
2015.01.29	10.24	10.49	10.18	10.46	4628	2130400	1
2015.01.30	10.25	10.42	9.99	10.16	8125	2861800	1
2015.02.02	10.24	10.41	10.06	10.34	5514	1321300	1
2015.02.03	10.47	10.62	10.31	10.39	6056	1656600	1
2015.02.04	10.42	10.56	10.10	10.45	7008	1888200	1
2015.02.05	10.36	10.62	10.30	10.46	4889	1914400	1
2015.02.06	10.30	10.44	10.18	10.43	6998	1616400	1
2015.02.09	10.39	10.54	10.25	10.38	6172	1772500	1
2015.02.10	10.44	10.51	10.27	10.30	5600	1519000	1
2015.02.11	10.30	10.61	10.23	10.61	6647	2909200	1
2015.02.12	10.68	10.85	10.48	10.55	6274	2804000	1
2015.02.13	10.63	11.00	10.55	10.98	5813	2037300	1
2015.02.18	11.01	11.19	10.92	11.05	8244	3025500	1
2015.02.19	10.93	11.24	10.85	11.02	5151	4675000	1
2015.02.20	11.03	11.03	10.61	10.62	6948	2241200	1
2015.02.23	10.56	10.58	10.06	10.06	12690	6312100	1
2015.02.24	10.08	10.24	9.92	10.20	7203	2157800	1
2015.02.25	10.00	10.33	10.00	10.27	4036	2867800	1
2015.02.26	10.34	10.36	10.14	10.36	3277	1380300	1
2015.02.27	10.26	10.53	10.20	10.23	7202	2093300	1
2015.03.02	10.21	10.34	10.18	10.31	5402	1736900	1
2015.03.03	10.27	10.38	10.15	10.25	6453	1905000	1
2015.03.04	10.10	10.24	10.00	10.12	7681	2408200	1
2015.03.05	10.18	10.27	10.05	10.27	6220	2715700	1
2015.03.06	10.25	10.32	9.94	10.01	4987	1884400	1
2015.03.09	9.88	10.03	9.74	9.94	8700	2419300	1
