<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	10.48	10.76	10.38	10.66	3165	1345200	1
2015.01.05	10.72	10.78	10.20	10.33	3634	2204400	1
2015.01.06	10.39	10.48	9.68	9.77	4302	2641500	1
2015.01.07	9.77	9.86	9.48	9.62	6400	3390300	1
2015.01.08	9.68	9.97	9.58	9.84	3279	1447200	1
2015.01.09	9.86	9.88	9.65	9.74	2371	932700	1
2015.01.12	9.74	10.19	9.66	10.19	1719	1616700	1
2015.01.13	10.14	10.25	9.95	9.98	2865	1419300	1
2015.01.14	9.83	10.05	9.77	9.90	3335	1570500	1
2015.01.15	9.71	10.11	9.62	9.62	3203	1636200	1
2015.01.16	9.66	10.39	9.66	10.24	3244	1376400	1
2015.01.19	10.17	10.27	9.53	9.53	2383	1212600	1
2015.01.20	9.62	10.00	9.62	9.92	3776	2166600	1
2015.01.21	10.04	10.42	9.94	10.42	1841	852600	1
2015.01.22	10.42	10.56	10.07	10.41	4056	2059200	1
2015.01.23	10.39	10.61	10.34	10.34	4748	2265300	1
2015.01.26	10.29	10.42	10.03	10.07	3290	1469700	1
2015.01.27	9.99	10.10	9.80	9.92	2767	1647000	1
2015.01.28	9.93	10.26	9.89	10.20	2229	1236000	1
2015.01.29	10.20	10.36	9.77	9.80	2717	1881000	1
2015.01.30	9.81	10.06	9.81	10.00	3517	2046000	1
2015.02.02	10.08	10.36	9.98	10.13	2749	1265400	1
2015.02.03	10.25	10.69	10.15	10.57	3095	2135400	1
2015.02.04	10.49	10.60	10.33	10.50	2991	1477500	1
2015.02.05	10.40	10.83	10.40	10.81	3566	2157000	1
2015.02.06	10.69	10.96	10.58	10.87	2974	1273200	1
2015.02.09	10.84	11.16	10.78	11.04	3081	1521300	1
2015.02.10	11.02	11.14	10.84	10.97	2010	1196100	1
2015.02.11	11.00	11.07	10.69	10.72	3254	1521900	1
2015.02.12	10.72	10.95	10.58	10.67	3472	1556700	1
2015.02.13	10.75	11.01	10.67	10.90	2694	1499700	1
2015.02.18	11.01	11.07	10.80	10.97	1312	676800	1
2015.02.19	10.86	11.08	10.86	10.90	1804	888600	1
2015.02.20	10.94	10.97	10.65	10.71	1887	1303800	1
2015.02.23	10.74	10.89	10.65	10.71	1644	913200	1
2015.02.24	10.70	10.93	10.65	10.89	1853	1074300	1
2015.02.25	10.80	10.94	10.78	10.90	1595	822300	1
2015.02.26	10.87	11.02	10.79	10.79	1721	1109700	1
2015.02.27	10.72	10.72	9.92	10.22	4521	2430000	1
2015.03.02	10.30	10.42	10.19	10.42	3662	2126400	1
2015.03.03	10.47	10.47	10.23	10.36	2270	1638000	1
2015.03.04	10.28	10.43	10.24	10.24	2029	2166300	1
2015.03.05	10.21	10.40	10.18	10.39	1396	671100	1
2015.03.06	10.38	10.41	10.27	10.36	1635	2896500	1
2015.03.09	10.36	10.42	10.28	10.31	2056	1798800	1
2015.03.10	10.31	10.44	10.07	10.14	2409	1185900	1
2015.03.11	10.13	10.32	10.01	10.24	3112	1362000	1
2015.03.12	10.24	10.35	10.20	10.27	3148	1986000	1
2015.03.13	10.26	10.26	10.06	10.06	3380	1634400	1
2015.03.16	10.06	10.36	10.06	10.16	3512	1729800	1
2015.03.17	10.13	10.27	10.13	10.21	5765	4090800	1
2015.03.18	10.19	10.50	10.14	10.43	4240	2801100	1
2015.03.19	10.41	10.84	10.32	10.54	2495	1084800	1
2015.03.20	10.59	10.67	10.46	10.51	3039	1825500	1
2015.03.23	10.51	10.71	10.45	10.66	1651	1823400	1
2015.03.24	10.69	10.70	10.46	10.65	2704	1984500	1
2015.03.25	10.64	10.88	10.45	10.65	2419	1076100	1
2015.03.26	10.63	10.82	10.42	10.66	4226	2118300	1
2015.03.27	10.67	11.07	10.58	10.78	2728	1290900	1
2015.03.30	10.83	11.05	10.66	10.74	3393	1529100	1
2015.03.31	10.75	11.23	10.70	11.12	3893	3082200	1
2015.04.01	11.18	11.31	10.94	10.94	3115	1379400	1
2015.04.02	11.04	11.27	10.98	11.21	4011	1637400	1
2015.04.06	11.27	11.37	11.18	11.24	3116	1662600	1
2015.04.07	11.31	11.37	11.13	11.13	3256	1145400	1
2015.04.08	11.09	11.34	11.09	11.14	3430	1246500	1
2015.04.09	11.09	11.33	10.92	11.07	4465	1808400	1
2015.04.10	11.02	11.23	10.90	11.04	2661	1245300	1
2015.04.13	11.04	11.25	10.96	11.01	2824	1216200	1
2015.04.14	11.02	11.27	10.80	11.27	2688	1203900	1
2015.04.15	11.24	11.24	11.04	11.18	3294	1610400	1
2015.04.16	11.17	11.17	10.84	10.91	2673	1596300	1
2015.04.17	10.96	11.11	10.87	11.10	1725	826800	1
2015.04.20	11.10	11.22	11.05	11.18	1371	692700	1
2015.04.22	11.10	11.58	11.10	11.27	3880	2155200	1
2015.04.23	11.42	11.56	11.27	11.28	3616	2369100	1
2015.04.24	11.36	11.39	11.09	11.35	2045	1168200	1
2015.04.27	11.36	11.59	10.96	11.32	2623	1330500	1
2015.04.28	11.27	11.27	10.69	11.05	3473	1750800	1
2015.04.29	11.10	11.10	10.73	11.03	2542	1094700	1
2015.04.30	11.05	11.27	10.60	10.60	2302	1299600	1
2015.05.04	10.65	11.23	10.61	11.12	3511	1530900	1
2015.05.05	11.13	11.42	11.06	11.27	1682	879300	1
2015.05.06	11.31	11.84	11.17	11.53	4509	1978200	1
2015.05.07	11.53	11.85	11.35	11.76	4704	2694000	1
2015.05.08	11.83	12.17	11.70	11.88	3717	1944300	1
2015.05.11	11.89	11.96	11.61	11.61	2599	2105400	1
2015.05.12	11.61	11.73	11.40	11.59	2111	805200	1
2015.05.13	11.62	11.79	11.40	11.50	2275	864900	1
2015.05.14	11.55	11.74	11.44	11.74	2145	837000	1
2015.05.15	11.80	12.00	11.72	12.00	3501	2286000	1
2015.05.18	11.97	11.99	11.80	11.91	3107	1937400	1
2015.05.19	11.91	12.00	11.83	11.88	2726	1307400	1
2015.05.20	12.00	12.09	11.58	11.58	2310	1373400	1
2015.05.21	11.58	12.02	11.42	11.80	3849	1712100	1
2015.05.22	11.82	12.23	11.72	12.23	4823	3491700	1
2015.05.25	12.16	12.19	11.95	12.03	891	482700	1
2015.05.26	12.15	12.15	11.62	11.62	2989	1433100	1
2015.05.27	11.58	12.02	11.56	11.95	3277	1645200	1
2015.05.28	12.07	12.07	11.62	11.72	2423	1153800	1
2015.05.29	11.58	11.99	11.36	11.36	3432	2607900	1
2015.06.01	11.37	11.98	11.37	11.87	3491	1658100	1
2015.06.02	11.82	12.22	11.70	12.08	3527	1748700	1
2015.06.03	12.20	12.20	11.91	12.09	2919	1258500	1
2015.06.05	12.03	12.18	11.87	11.97	1764	781200	1
2015.06.08	11.88	12.06	11.82	11.83	1944	955200	1
2015.06.09	11.83	11.92	11.68	11.77	3069	1665900	1
2015.06.10	11.75	12.02	11.75	11.94	1763	747000	1
2015.06.11	11.97	12.02	11.83	11.92	1964	847200	1
2015.06.12	11.84	12.21	11.81	11.81	2951	1769700	1
2015.06.15	11.81	12.00	11.31	11.31	5011	2436600	1
2015.06.16	11.35	11.46	11.09	11.19	4899	2739900	1
2015.06.17	11.23	11.31	11.00	11.13	2607	1101300	1
2015.06.18	11.19	11.62	11.12	11.45	3640	1572300	1
2015.06.19	11.45	11.68	11.43	11.57	3946	2022900	1
2015.06.22	11.62	11.68	11.53	11.62	1472	652800	1
2015.06.23	11.70	12.03	11.63	12.01	4330	2304600	1
2015.06.24	12.02	12.05	11.87	11.88	2995	1412700	1
2015.06.25	11.88	12.10	11.80	11.82	2133	1017300	1
2015.06.26	11.81	12.17	11.74	12.17	2758	4701300	1
2015.06.29	12.08	12.11	11.69	11.85	2309	1080000	1
2015.06.30	11.93	12.04	11.65	11.88	4671	3456600	1
2015.07.01	11.88	12.01	11.81	11.88	2973	1523400	1
2015.07.02	11.88	12.10	11.79	11.96	3254	3212700	1
2015.07.03	11.90	12.04	11.77	11.88	1733	843600	1
2015.07.06	11.77	11.85	11.64	11.77	1812	1702800	1
2015.07.07	11.70	11.73	11.63	11.69	1997	2225700	1
2015.07.08	11.70	11.76	11.34	11.34	3658	1620900	1
2015.07.10	11.41	11.55	11.23	11.44	2576	1262700	1
2015.07.13	11.48	11.65	11.42	11.49	2414	1002600	1
2015.07.14	11.46	11.73	11.46	11.66	2589	1047900	1
2015.07.15	11.70	11.70	11.33	11.36	4450	2209200	1
2015.07.16	11.33	11.42	11.27	11.35	1372	711600	1
2015.07.17	11.29	11.37	11.18	11.22	1915	791100	1
2015.07.20	11.22	11.29	11.08	11.12	1594	762900	1
2015.07.21	11.14	11.27	11.07	11.10	1314	561300	1
2015.07.22	11.10	11.19	11.02	11.05	1977	972300	1
2015.07.23	11.05	11.38	10.96	10.99	3543	1784100	1
2015.07.24	10.95	10.96	10.56	10.71	2491	1967100	1
2015.07.27	10.69	10.92	10.59	10.60	4224	3155400	1
2015.07.28	10.62	10.78	10.60	10.63	3998	2218200	1
2015.07.29	10.51	10.72	10.44	10.54	5368	3029100	1
2015.07.30	10.42	10.58	10.42	10.43	4523	1948500	1
2015.07.31	10.42	10.93	10.42	10.68	5861	2740800	1
2015.08.03	10.68	10.88	10.55	10.67	3565	1475100	1
2015.08.04	10.70	10.85	10.59	10.85	1878	812700	1
2015.08.05	10.91	10.91	10.63	10.82	2943	1710300	1
2015.08.06	10.65	10.82	10.55	10.60	3499	3106500	1
2015.08.07	10.66	10.67	10.32	10.35	3689	1986300	1
2015.08.10	10.30	10.60	10.21	10.45	2742	1899000	1
2015.08.11	10.30	10.48	10.28	10.39	2447	1623300	1
2015.08.12	10.33	10.33	9.99	10.10	3124	1560000	1
2015.08.13	10.14	10.15	9.83	9.87	3177	2109000	1
2015.08.14	9.81	9.94	9.74	9.79	2842	2666100	1
2015.08.17	9.76	10.22	9.74	10.06	3841	2720400	1
2015.08.18	10.03	10.24	9.94	10.23	4326	3052500	1
2015.08.19	10.27	10.27	9.78	10.02	3779	2213100	1
2015.08.20	9.79	9.99	9.72	9.87	2907	2068200	1
2015.08.21	9.82	9.87	9.51	9.53	4374	2007300	1
2015.08.24	8.93	9.35	8.92	9.22	10526	5220000	1
2015.08.26	9.51	9.64	9.24	9.49	4585	3586500	1
2015.08.27	9.56	9.77	9.41	9.56	6471	2720700	1
2015.08.28	9.56	9.97	9.42	9.92	7935	4271100	1
2015.08.31	9.83	9.83	9.44	9.74	7117	4501500	1
2015.09.01	9.56	9.60	9.13	9.18	5559	3564900	1
2015.09.02	9.24	9.41	9.10	9.16	4427	2393700	1
2015.09.03	9.22	9.57	9.22	9.53	4030	1875900	1
2015.09.04	9.26	9.42	9.10	9.10	2490	1158900	1
2015.09.08	9.46	9.47	9.19	9.22	4779	2077500	1
2015.09.09	9.27	9.40	9.24	9.34	4997	2053800	1
2015.09.10	9.07	9.15	8.83	9.01	6110	3524100	1
2015.09.11	9.00	9.30	8.96	9.22	4843	2596800	1
2015.09.14	9.22	9.29	9.15	9.22	3216	1611000	1
2015.09.15	9.27	9.40	9.15	9.22	2555	1060200	1
2015.09.16	9.22	9.70	9.22	9.70	3241	1401000	1
2015.09.17	9.62	9.62	9.21	9.37	4378	1939200	1
2015.09.18	9.28	9.39	9.15	9.22	3463	1691100	1
2015.09.21	9.18	9.25	8.99	9.20	3348	4485900	1
2015.09.22	9.07	9.19	8.92	9.19	4099	2218500	1
2015.09.23	9.19	9.20	9.04	9.10	4740	2631300	1
2015.09.24	9.10	9.13	8.89	8.98	4814	2323800	1
2015.09.25	8.90	9.12	8.90	8.97	5794	5870400	1
2015.09.28	8.92	9.00	8.72	8.87	4982	2322600	1
2015.09.29	8.79	9.09	8.79	9.01	4250	2358300	1
2015.09.30	8.99	9.27	8.98	9.27	6996	3516900	1
2015.10.01	9.31	9.44	9.07	9.07	5973	4423200	1
2015.10.02	9.09	9.58	9.00	9.43	2091	1024500	1
2015.10.05	9.62	9.66	9.34	9.66	4328	2416800	1
2015.10.06	9.63	9.64	9.35	9.50	4341	2515500	1
2015.10.07	9.84	10.13	9.72	9.84	4487	2211600	1
2015.10.08	9.70	10.11	9.70	9.86	2181	961500	1
2015.10.09	10.11	10.30	9.98	10.15	3246	1386000	1
2015.10.13	10.13	10.19	9.90	10.19	2800	1240800	1
2015.10.14	10.14	10.14	9.81	9.91	2517	1632000	1
2015.10.15	9.78	10.42	9.77	10.24	1899	909900	1
2015.10.16	10.41	10.41	9.90	9.99	3520	2450100	1
2015.10.19	9.99	10.58	9.93	10.55	3427	1471500	1
2015.10.20	10.57	10.61	10.47	10.57	2719	1350300	1
2015.10.21	10.69	10.73	10.22	10.30	2861	1202700	1
2015.10.22	10.39	10.93	10.28	10.73	3805	2245800	1
2015.10.23	10.99	11.18	10.65	10.65	4147	2695800	1
2015.10.26	10.74	10.81	10.53	10.73	2553	1457400	1
2015.10.27	10.73	10.85	10.68	10.76	2150	1167600	1
2015.10.28	10.76	10.88	10.10	10.18	2294	1783800	1
2015.10.29	9.98	10.31	9.98	10.23	5101	4616100	1
2015.10.30	10.23	10.59	10.13	10.50	4111	2639700	1
2015.11.03	10.50	11.35	10.45	11.21	6913	3766800	1
2015.11.04	11.22	11.73	10.73	10.94	6681	3276300	1
2015.11.05	10.89	11.39	10.75	11.30	2824	1117500	1
2015.11.06	11.29	11.48	11.07	11.24	1172	639300	1
2015.11.09	11.24	11.44	11.01	11.34	1120	1295100	1
2015.11.10	11.31	11.40	11.07	11.21	1548	792300	1
