<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	21.84	21.96	21.44	21.65	6643	2619000	1
2015.01.05	21.22	21.48	21.07	21.12	8103	2860800	1
2015.01.06	21.08	21.30	20.89	20.99	6947	4014600	1
2015.01.07	21.26	22.01	21.18	21.54	9938	4183200	1
2015.01.08	21.70	21.87	21.28	21.47	5454	1687000	1
2015.01.09	21.28	21.41	20.90	21.16	5729	2654000	1
2015.01.12	20.95	21.16	20.74	20.94	5469	1859200	1
2015.01.13	20.99	21.29	20.79	21.05	5084	1885400	1
2015.01.14	21.02	21.32	20.88	21.05	4826	1649000	1
2015.01.15	21.17	21.54	21.13	21.18	6164	2572400	1
2015.01.16	21.23	21.96	21.09	21.65	5933	1998600	1
2015.01.19	21.48	21.70	20.97	21.34	3499	1554000	1
2015.01.20	21.63	21.76	21.46	21.62	4607	2177600	1
2015.01.21	21.80	22.58	21.65	22.25	7130	3152000	1
2015.01.22	22.57	22.99	22.02	22.44	6698	2497600	1
2015.01.23	22.44	22.72	22.32	22.61	5967	1999200	1
2015.01.26	22.27	22.61	22.13	22.40	5687	1776000	1
2015.01.27	22.19	22.56	21.65	22.44	8320	2702200	1
2015.01.28	22.13	22.46	21.72	22.27	6398	2580800	1
2015.01.29	22.25	22.65	21.98	22.65	5095	2319400	1
2015.01.30	22.11	22.65	22.11	22.65	6751	3496800	1
2015.02.02	22.66	23.33	22.49	23.24	6585	2489200	1
2015.02.03	23.42	23.55	22.98	23.29	10273	3187800	1
2015.02.04	23.28	23.60	22.90	23.34	9186	4858600	1
2015.02.05	23.10	23.73	23.10	23.73	6333	3004200	1
2015.02.06	23.89	24.01	23.34	24.01	8886	4308800	1
2015.02.09	23.93	24.66	23.55	24.25	9752	4107800	1
2015.02.10	23.99	24.14	23.82	23.89	8341	3459000	1
2015.02.11	23.85	23.92	23.31	23.76	6093	2359400	1
2015.02.12	23.93	24.47	23.83	24.32	6431	3859600	1
2015.02.13	24.50	24.79	24.26	24.75	7454	3733200	1
2015.02.18	24.74	25.14	24.54	24.76	9210	3453200	1
2015.02.19	24.79	24.83	24.36	24.71	5237	2707800	1
2015.02.20	24.75	24.96	24.23	24.36	5939	3119800	1
2015.02.23	24.08	24.88	24.08	24.58	5118	1918800	1
2015.02.24	24.64	24.97	24.32	24.93	7039	2822600	1
2015.02.25	24.78	25.22	24.33	25.04	5989	2891400	1
2015.02.26	25.60	25.64	24.58	25.43	7656	4116600	1
2015.02.27	25.28	26.07	25.07	25.46	9191	3563000	1
2015.03.02	25.25	25.41	24.97	25.27	5270	1985800	1
2015.03.03	25.24	25.69	25.22	25.69	6087	2976800	1
2015.03.04	25.47	25.47	24.90	25.15	7187	2856800	1
2015.03.05	25.38	25.44	24.98	25.32	6401	3188600	1
2015.03.06	25.30	25.53	25.09	25.26	4943	4462000	1
2015.03.09	25.45	25.45	24.75	24.87	7484	3299600	1
2015.03.10	24.66	24.84	24.38	24.53	8603	3152800	1
2015.03.11	24.48	24.74	24.44	24.70	6899	4469000	1
2015.03.12	25.09	25.40	24.92	25.30	6711	4583400	1
2015.03.13	24.70	25.14	24.64	25.14	9476	3201400	1
2015.03.16	25.26	25.57	25.21	25.54	7281	4162600	1
2015.03.17	25.52	26.20	25.36	25.93	7403	3681200	1
2015.03.18	25.83	26.73	25.70	26.47	8789	5033000	1
2015.03.19	26.55	26.62	26.17	26.45	4985	6706000	1
2015.03.20	26.73	27.00	26.57	26.95	9119	6866800	1
2015.03.23	27.00	27.08	26.41	26.80	6955	3332600	1
2015.03.24	26.83	27.05	26.37	26.80	9726	4360200	1
2015.03.25	26.95	27.21	26.78	27.21	6592	6840400	1
2015.03.26	26.92	27.03	26.62	26.82	8992	3790800	1
2015.03.27	26.67	27.08	26.64	26.93	6308	5260600	1
2015.03.30	27.16	27.75	27.10	27.75	5567	3025600	1
2015.03.31	27.77	28.09	27.45	28.04	7541	4662000	1
2015.04.01	28.29	28.75	28.12	28.75	9401	3560200	1
2015.04.02	28.75	28.98	27.89	28.45	10900	4059400	1
2015.04.06	28.47	28.86	27.95	28.79	5297	2261400	1
2015.04.07	28.81	28.83	28.24	28.44	5357	2813400	1
2015.04.08	28.72	28.88	28.29	28.67	6620	2396600	1
2015.04.09	28.49	28.91	28.48	28.61	7102	3070200	1
2015.04.10	28.53	28.71	28.42	28.49	6372	3473200	1
2015.04.13	28.21	28.72	28.19	28.72	5536	2538000	1
2015.04.14	28.81	28.86	28.45	28.79	5894	2940000	1
2015.04.15	28.96	29.29	28.77	29.13	5720	3955600	1
2015.04.16	29.04	29.19	28.70	28.86	6410	3189400	1
2015.04.17	28.46	28.68	28.27	28.42	6842	3765600	1
2015.04.20	28.42	28.75	28.19	28.45	5171	3363000	1
2015.04.22	28.56	28.90	28.45	28.86	5456	3596800	1
2015.04.23	28.72	29.46	28.64	29.42	7645	3997200	1
2015.04.24	29.42	29.57	28.97	29.57	5477	2277000	1
2015.04.27	29.63	29.69	28.97	29.09	5782	2681400	1
2015.04.28	29.23	29.41	28.75	28.94	5910	3465000	1
2015.04.29	28.62	29.31	28.49	29.31	7590	3605800	1
2015.04.30	29.02	30.00	29.00	30.00	9298	5331000	1
2015.05.04	30.06	30.80	29.93	30.30	8307	3286600	1
2015.05.05	30.08	30.44	30.01	30.22	6416	2680400	1
2015.05.06	30.14	30.68	30.07	30.68	7118	2956400	1
2015.05.07	31.67	31.73	30.24	30.65	8375	3087600	1
2015.05.08	30.70	31.50	30.35	30.98	7989	7222600	1
2015.05.11	30.98	31.40	30.58	30.87	6032	3344400	1
2015.05.12	30.84	31.17	30.65	31.02	6065	3236000	1
2015.05.13	30.91	31.17	30.47	31.02	6961	2997600	1
2015.05.14	31.06	31.35	30.88	31.27	8174	5686000	1
2015.05.15	31.12	31.95	31.12	31.95	7291	5076200	1
2015.05.18	31.85	32.17	31.46	31.48	6136	3159200	1
2015.05.19	31.48	31.56	30.97	31.19	4630	2408000	1
2015.05.20	31.28	31.40	30.84	31.19	4678	2480400	1
2015.05.21	31.10	31.67	31.00	31.67	4090	1652600	1
2015.05.22	31.61	31.62	30.80	31.28	6987	2992200	1
2015.05.25	31.28	31.28	30.63	31.04	3614	1407200	1
