<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	17.16	17.36	16.66	16.83	14317	5612900	1
2015.01.05	16.42	16.71	16.22	16.58	22230	8295300	1
2015.01.06	16.82	17.50	16.67	17.24	18966	9774000	1
2015.01.07	17.65	18.04	17.38	17.88	20454	6033900	1
2015.01.08	18.01	18.10	17.49	18.06	8958	4623300	1
2015.01.09	17.87	18.07	17.63	17.68	7426	3571100	1
2015.01.12	17.49	17.91	17.35	17.91	9982	4512700	1
2015.01.13	17.95	18.29	17.80	17.80	13311	6022900	1
2015.01.14	17.24	17.40	16.36	16.37	22535	10770100	1
2015.01.15	16.45	16.82	16.17	16.56	13243	5707000	1
2015.01.16	16.65	17.57	16.49	17.31	12094	3911000	1
2015.01.19	16.97	17.15	16.85	17.12	6144	2088400	1
2015.01.20	17.46	17.46	17.02	17.19	5840	2047600	1
2015.01.21	17.30	17.62	17.01	17.46	6601	2815600	1
2015.01.22	17.68	18.09	17.21	17.33	9851	4007100	1
2015.01.23	17.01	17.08	16.19	16.23	15761	7128900	1
2015.01.26	15.83	15.91	15.48	15.49	12523	4844000	1
2015.01.27	15.32	15.45	14.70	15.03	13652	5447200	1
2015.01.28	14.81	15.30	14.75	14.99	9708	3972900	1
2015.01.29	15.03	15.19	14.17	14.28	16253	8447200	1
2015.01.30	14.00	14.77	13.96	14.72	25037	7131500	1
2015.02.02	14.99	15.68	14.75	15.61	16514	6244700	1
2015.02.03	16.09	16.78	15.92	16.51	21764	9620100	1
2015.02.04	16.51	16.74	15.95	16.25	19396	7333200	1
2015.02.05	16.26	16.74	16.16	16.17	13199	4486300	1
2015.02.06	15.98	16.32	15.79	16.15	12571	4364200	1
2015.02.09	16.02	17.29	15.98	17.08	9385	4425200	1
2015.02.10	16.83	17.09	16.14	16.14	14634	5590700	1
2015.02.11	16.08	16.75	16.08	16.69	14700	5674300	1
2015.02.12	17.16	17.30	16.82	17.07	12110	5596600	1
2015.02.13	17.31	17.95	17.25	17.78	16223	6851900	1
2015.02.18	17.95	18.19	17.94	17.96	11320	5790600	1
2015.02.19	18.10	18.10	17.43	17.48	9728	4582500	1
2015.02.20	17.57	17.96	17.36	17.89	6293	2482200	1
2015.02.23	17.48	17.62	16.91	17.10	13028	5537800	1
2015.02.24	17.12	17.63	17.08	17.43	11497	6375200	1
2015.02.25	17.27	17.61	17.24	17.51	13393	4706300	1
2015.02.26	17.30	17.35	16.51	16.81	15675	7328900	1
